graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|parking_cost_range|parameter_sensitivity|2055|8.0-20.5|Optimization|N2055_PS_parking_cost_80_205_I1,sumo,parking_cost_range,parameter_sensitivity,2055,8.0-20.5,Optimization,N2055_PS_parking_cost_80_205_I1,N2055_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,Optimization (Optimum),0.900000,13.033260,0.928200,19.660000,0.868252,0.720518,0.051314,0.096420,0.868252
SUMO|parking_cost_range|parameter_sensitivity|2055|10.0-22.5|Optimization|N2055_PS_parking_cost_100_225_I1,sumo,parking_cost_range,parameter_sensitivity,2055,10.0-22.5,Optimization,N2055_PS_parking_cost_100_225_I1,N2055_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,Optimization (Optimum),0.900000,12.949500,2.562720,11.340000,0.921763,0.722618,0.143007,0.056139,0.921763
SUMO|parking_cost_range|parameter_sensitivity|2055|12.5-25.0|Optimization|N2055_PS_parking_cost_125_250_I1,sumo,parking_cost_range,parameter_sensitivity,2055,12.5-25.0,Optimization,N2055_PS_parking_cost_125_250_I1,N2055_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,Optimization (Optimum),0.900000,12.793500,2.562720,14.330000,0.934884,0.713912,0.143007,0.077965,0.934884
SUMO|parking_cost_range|parameter_sensitivity|2055|15.0-30.0|Optimization|N2055_PS_parking_cost_150_300_I1,sumo,parking_cost_range,parameter_sensitivity,2055,15.0-30.0,Optimization,N2055_PS_parking_cost_150_300_I1,N2055_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,Optimization (Optimum),0.900000,13.717500,2.562720,18.230000,1.024524,0.784922,0.146640,0.092963,1.024524
SUMO|parking_cost_range|parameter_sensitivity|2055|8.0-20.5|ACO|N2055_PS_parking_cost_80_205_I1,sumo,parking_cost_range,parameter_sensitivity,2055,8.0-20.5,ACO,N2055_PS_parking_cost_80_205_I1,N2055_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,ACO,0.900000,16.525260,4.964460,7.010000,1.222396,0.913566,0.274450,0.034380,1.222396
SUMO|parking_cost_range|parameter_sensitivity|2055|10.0-22.5|ACO|N2055_PS_parking_cost_100_225_I1,sumo,parking_cost_range,parameter_sensitivity,2055,10.0-22.5,ACO,N2055_PS_parking_cost_100_225_I1,N2055_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,ACO,0.900000,10.261260,4.964460,9.150000,0.894934,0.572606,0.277030,0.045297,0.894934
SUMO|parking_cost_range|parameter_sensitivity|2055|12.5-25.0|ACO|N2055_PS_parking_cost_125_250_I1,sumo,parking_cost_range,parameter_sensitivity,2055,12.5-25.0,ACO,N2055_PS_parking_cost_125_250_I1,N2055_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,ACO,0.900000,10.261260,4.964460,12.000000,0.914925,0.572606,0.277030,0.065288,0.914925
SUMO|parking_cost_range|parameter_sensitivity|2055|15.0-30.0|ACO|N2055_PS_parking_cost_150_300_I1,sumo,parking_cost_range,parameter_sensitivity,2055,15.0-30.0,ACO,N2055_PS_parking_cost_150_300_I1,N2055_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,ACO,0.900000,10.261260,4.964460,15.270000,0.949091,0.587154,0.284069,0.077868,0.949091
SUMO|parking_cost_range|parameter_sensitivity|2055|8.0-20.5|PSO|N2055_PS_parking_cost_80_205_I1,sumo,parking_cost_range,parameter_sensitivity,2055,8.0-20.5,PSO,N2055_PS_parking_cost_80_205_I1,N2055_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,PSO,0.900000,16.249260,0.928200,19.660000,1.046042,0.898308,0.051314,0.096420,1.046042
SUMO|parking_cost_range|parameter_sensitivity|2055|10.0-22.5|PSO|N2055_PS_parking_cost_100_225_I1,sumo,parking_cost_range,parameter_sensitivity,2055,10.0-22.5,PSO,N2055_PS_parking_cost_100_225_I1,N2055_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,PSO,0.900000,13.282140,5.227380,14.810000,1.106199,0.741180,0.291702,0.073317,1.106199
