graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|traffic_level|parameter_sensitivity|2055|very_low|Optimization|N2055_PS_traffic_very_low_I1,sumo,traffic_level,parameter_sensitivity,2055,very_low,Optimization,N2055_PS_traffic_very_low_I1,N2055_PS_traffic_very_low_I1.dat,very_low,very low,Optimization (Optimum),0.900000,9.625260,0.928200,19.660000,0.811324,0.652027,0.062877,0.096420,0.811324
SUMO|traffic_level|parameter_sensitivity|2055|low|Optimization|N2055_PS_traffic_low_I1,sumo,traffic_level,parameter_sensitivity,2055,low,Optimization,N2055_PS_traffic_low_I1,N2055_PS_traffic_low_I1.dat,low,low,Optimization (Optimum),0.900000,12.085260,0.928200,19.660000,0.909317,0.754917,0.057981,0.096420,0.909317
SUMO|traffic_level|parameter_sensitivity|2055|medium|Optimization|N2055_PS_traffic_medium_I1,sumo,traffic_level,parameter_sensitivity,2055,medium,Optimization,N2055_PS_traffic_medium_I1,N2055_PS_traffic_medium_I1.dat,medium,medium,Optimization (Optimum),0.900000,15.055260,0.928200,19.660000,0.850757,0.710531,0.043806,0.096420,0.850757
SUMO|traffic_level|parameter_sensitivity|2055|high|Optimization|N2055_PS_traffic_high_I1,sumo,traffic_level,parameter_sensitivity,2055,high,Optimization,N2055_PS_traffic_high_I1,N2055_PS_traffic_high_I1.dat,high,high,Optimization (Optimum),0.900000,32.662380,5.332680,12.030000,1.091603,0.887676,0.144928,0.059000,1.091603
SUMO|traffic_level|parameter_sensitivity|2055|very_low|ACO|N2055_PS_traffic_very_low_I1,sumo,traffic_level,parameter_sensitivity,2055,very_low,ACO,N2055_PS_traffic_very_low_I1,N2055_PS_traffic_very_low_I1.dat,very_low,very low,ACO,0.900000,7.333260,4.964460,7.010000,0.867442,0.496764,0.336298,0.034380,0.867442
SUMO|traffic_level|parameter_sensitivity|2055|low|ACO|N2055_PS_traffic_low_I1,sumo,traffic_level,parameter_sensitivity,2055,low,ACO,N2055_PS_traffic_low_I1,N2055_PS_traffic_low_I1.dat,low,low,ACO,0.900000,8.329260,4.964460,7.010000,0.864784,0.520295,0.310109,0.034380,0.864784
SUMO|traffic_level|parameter_sensitivity|2055|medium|ACO|N2055_PS_traffic_medium_I1,sumo,traffic_level,parameter_sensitivity,2055,medium,ACO,N2055_PS_traffic_medium_I1,N2055_PS_traffic_medium_I1.dat,medium,medium,ACO,0.900000,13.333260,4.964460,7.010000,0.897939,0.629262,0.234297,0.034380,0.897939
SUMO|traffic_level|parameter_sensitivity|2055|high|ACO|N2055_PS_traffic_high_I1,sumo,traffic_level,parameter_sensitivity,2055,high,ACO,N2055_PS_traffic_high_I1,N2055_PS_traffic_high_I1.dat,high,high,ACO,0.900000,28.795260,4.964460,7.010000,0.951878,0.782578,0.134921,0.034380,0.951878
SUMO|traffic_level|parameter_sensitivity|2055|very_low|PSO|N2055_PS_traffic_very_low_I1,sumo,traffic_level,parameter_sensitivity,2055,very_low,PSO,N2055_PS_traffic_very_low_I1,N2055_PS_traffic_very_low_I1.dat,very_low,very low,PSO,0.900000,9.625260,0.928200,19.660000,0.811324,0.652027,0.062877,0.096420,0.811324
SUMO|traffic_level|parameter_sensitivity|2055|low|PSO|N2055_PS_traffic_low_I1,sumo,traffic_level,parameter_sensitivity,2055,low,PSO,N2055_PS_traffic_low_I1,N2055_PS_traffic_low_I1.dat,low,low,PSO,0.900000,12.085260,0.928200,19.660000,0.909317,0.754917,0.057981,0.096420,0.909317
