Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N1000_C3_I1,1000,3352,100,988,1000,0.9,0.5,20.5,0.9,True,150689.971,995,1,995_S001,near,0.6617000000000002,0.001563,0.002861,0.12,0.024,0.12,0.026861,17.46,2.6256988752244954,988->877->874->865->857->856->851->813->810->812->805->786->762->776->757->755->725->715->711->723->705->696->691->697->698->689->687->681->674->667->661->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->450->436->430->415->408->393->387->372->375->371->362->373->356->350->353->348->346->349->334->337->331->329->324->321->309->298->296->289->487->485->479->475->254->235->233->232->230->229->217->228->210->418->409->198->196->193->190->183->178->338->164->318->301->278->277->155->169->153->147->132->251->241->239->238->108->79->87->99->83->76->73->71->80->65->62->59->55->78->86->91->69->25->36->46->35->23->21->1->9->10->13->14->15->8->12->24->19->28->22->26->33->27->34->54->29->53->89->98->67->85->100->119->114->122->123->125->133->134->181->191->143->146->156->166->158->173->185->197->204->202->260->263->275->288->290->293->297->306->317->358->363->379->384->402->394->407->396->397->1000->995,995->1000
N1000_C7_I1,1000,3252,50,988,1000,0.9,0.5,20.5,0.9,True,60178.274,995,1,995_S001,near,0.19300000000000023,0.001563,0.002861,0.12,0.024,0.12,0.026861,17.46,0.9023963178260158,988->877->874->865->857->856->851->813->810->805->786->762->776->757->755->725->715->711->723->705->696->691->697->689->687->695->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->467->450->436->430->408->393->387->372->375->371->362->361->356->350->365->353->348->346->349->334->337->331->329->324->321->309->298->296->289->284->266->262->259->254->235->233->232->244->230->229->219->217->228->210->206->410->404->196->193->390->383->183->178->174->341->333->326->318->316->163->162->175->169->153->147->132->251->241->239->108->79->57->52->51->60->80->65->74->66->56->69->91->84->46->35->23->21->1->9->10->11->15->18->12->24->19->28->22->30->34->54->29->49->85->111->119->114->122->123->125->133->134->181->143->146->156->166->167->158->170->173->185->197->204->202->260->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->816->822->821->826->830->985->995,995->1000
N10_C1_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,900.61,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N10_C5_I1,10,46,2,8,10,0.9,0.5,20.5,0.9,True,759.817,5,1,5_S001,near,0.0113,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9754330856478606,8->7->6->5,5->10
N10_C9_I1,10,46,2,8,10,0.9,0.5,15.0,0.9,True,714.417,5,1,5_S001,near,0.0087,0.00179,0.004023,0.2661,0.0532,0.2661,0.057222999999999996,9.17,0.9745517395070769,8->7->5,5->10
N1500_C3_I1,1500,4878,150,1492,1500,0.9,0.5,20.5,0.9,True,890633.307,1497,383,1497_S001,near,0.7376000000000001,0.001562,0.002917,0.1288,0.0258,0.1288,0.028717,15.38,2.6483428096598476,1492->1298->1290->1281->1274->1270->1279->1262->1257->1254->1252->1219->1206->1212->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->961->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->861->857->856->851->818->813->810->812->805->786->762->761->757->755->741->725->715->711->723->705->696->691->697->689->687->681->674->667->661->659->657->636->609->599->592->588->576->574->586->568->575->564->581->560->549->547->545->543->540->538->561->548->532->542->534->539->526->524->522->508->501->476->469->463->450->436->430->422->415->408->393->387->372->371->362->361->356->350->353->348->346->349->334->337->331->329->324->321->552->520->514->523->535->298->299->289->284->266->262->259->254->235->233->232->230->229->217->228->210->206->418->409->198->196->193->392->390->383->380->183->178->339->338->335->333->326->316->301->292->153->147->110->112->96->124->118->95->87->99->83->73->116->39->56->44->77->69->68->63->21->1->9->5->6->13->14->11->4->8->12->24->19->28->20->32->30->34->54->53->29->49->85->100->119->114->122->123->125->133->152->134->181->143->194->189->216->187->195->211->170->173->185->197->204->202->260->263->268->275->288->290->293->297->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->453->455->460->468->462->471->482->497->517->518->536->537->1500->1497,1497->1500
N1500_C7_I1,1500,4728,75,1492,1500,0.9,0.5,20.5,0.9,True,703559.263,1499,357,1499_S001,near,0.2246000000000004,0.001512,0.00281,0.12,0.024,0.12,0.02681,15.31,0.9226442365484439,1492->1298->1290->1281->1274->1270->1279->1262->1257->1254->1234->1231->1219->1206->1212->1228->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->857->856->851->813->810->812->805->786->762->761->757->755->725->715->711->723->705->696->691->697->698->689->687->681->674->667->659->669->657->636->609->599->592->588->576->574->586->568->575->564->581->560->549->547->545->543->540->538->561->532->542->534->539->526->525->527->519->501->476->469->463->450->439->437->436->430->415->408->393->387->372->371->362->361->356->350->365->348->346->344->366->349->334->337->331->329->324->321->309->298->299->289->500->259->254->235->233->441->451->206->209->410->409->198->196->193->190->183->370->178->174->168->164->341->333->326->318->316->292->153->117->105->110->92->90->97->99->83->73->116->101->82->104->36->68->63->23->35->21->1->5->6->10->11->14->15->24->19->28->26->33->45->27->34->54->53->29->49->85->111->119->114->122->123->125->133->152->134->181->143->194->189->146->156->187->177->167->158->173->185->192->204->202->260->265->263->268->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->453->455->460->468->471->482->497->517->518->536->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->709->713->721->734->745->748->749->753->763->765->764->766->783->784->791->815->816->821->826->830->839->854->849->852->860->864->866->867->870->880->882->889->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1068->1071->1077->1079->1091->1100->1110->1120->1122->1139->1167->1168->1173->1175->1189->1192->1191->1199->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1499,1499->1500
N20_C1_I1,20,62,2,1,20,0.9,0.5,20.5,0.9,True,1921.771,19,1,19_S001,near,0.0251,0.001494,0.002792,0.12,0.024,0.12,0.026792,17.8,0.5774104039072213,1->5->6->10->11->15->18->19,19->20
N20_C5_I1,20,62,2,1,20,0.9,0.5,20.5,0.9,True,1844.873,19,1,19_S001,near,0.0367,0.001494,0.002792,0.12,0.024,0.12,0.026792,17.8,0.6271921983960542,1->5->6->10->11->15->18->19,19->20
N20_C9_I1,20,62,2,1,20,0.9,0.5,15.0,0.9,True,1580.702,18,35,18_S001,near,0.0205,0.001925,0.004695,0.35,0.07,0.35,0.07469500000000001,7.35,0.9689897304468704,1->5->6->10->11->15->18,18->20
