Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N2055_PS_parking_cost_125_250_I1,2055,5299,103,1824,283,0.9,0.5,20.5,0.9,True,565445.254,62,209,62_S001,near,0.20519999999999997,0.001962,0.005141,0.4142,0.0828,0.4142,0.08794099999999999,15.19,1.0706975556367293,1824->1969->193->2023->2008->2006->1233->157->155->1820->1972->497->496->495->2031->1749->962->1984->1756->2010->1979->1090->2009->206->207->540->468->208->1083->1373->1203->2015->1082->426->926->1185->2014->1576->494->917->493->483->1084->484->1081->1302->853->1280->852->851->850->1285->1640->1644->799->1085->800->168->1679->6->5->62,62->283
N2055_PS_spot_availability_A20_I1,2055,5299,103,1824,283,0.9,0.5,20.5,0.9,True,617205.93,5,238,5_S006,near,0.21339999999999998,0.004035,0.011349,0.4099,0.082,0.4099,0.093349,12.78,1.06974040204152,1824->1969->193->2023->2008->2006->1233->157->155->1820->1972->497->496->495->2031->299->1096->865->866->2010->1979->1090->2009->206->207->540->468->208->1873->1997->1740->1083->1373->1203->2015->1082->426->926->1185->1179->1576->494->917->493->1077->1078->1647->852->851->850->1285->1640->1644->799->1085->800->168->1679->6->5,5->283
N2055_PS_traffic_low_I1,2055,5299,103,1824,283,0.9,0.5,20.5,0.9,True,622101.618,487,476,487_S001,near,0.2000000000000001,0.001421,0.00237,0.0655,0.0131,0.0655,0.015470000000000001,19.66,0.9093173570583488,1824->1969->193->2023->2008->2006->454->597->596->595->594->592->685->451->684->1972->497->496->38->1995->1846->567->1971->1211->933->22->1207->1816->1790->1123->1221->1125->1124->2032->212->24->1134->1138->1132->1135->1130->1131->904->905->906->907->652->1292->533->663->1261->1265->662->908->909->660->911->891->1876->657->1276->1274->1269->427->65->1313->1314->1312->2022->1173->1172->1170->1962->636->802->803->804->1112->1781->1427->60->1967->801->1723->1724->1728->151->1524->1714->489->488->487,487->283
N2500_PS_edge_density_dense_8278_I1,2500,8528,125,2491,2500,0.9,0.5,20.5,0.9,True,1314496.441,2476,340,2476_S001,near,0.1859,0.001553,0.003145,0.1661,0.0332,0.1661,0.036345,6.65,0.7930906191125133,2491->2341->1895->1902->1955->1968->2014->2028->1673->1665->1672->1677->1681->1693->1707->1713->1718->1369->1359->1355->1344->1311->1027->1036->1037->681->687->689->362->646->168->10->6->406->748->1092->1100->1110->1462->1463->1481->1497->1499->1821->1818->2186->2485->2476,2476->2500
N2500_PS_parking_supply_P20_I1,2500,7892,223,2491,2500,0.9,0.5,20.5,0.9,True,3825497.17,2461,390,2461_S001,near,0.8727000000000004,0.001638,0.003419,0.1953,0.0391,0.1953,0.042519,7.85,2.756152994641825,2491->2341->2332->2328->2326->2320->2317->2300->2282->2268->2263->2256->2252->2251->2247->2257->2240->2226->2237->2220->2235->2236->2218->2228->2211->2202->2187->2178->2156->2183->2155->2154->2130->2109->2098->2085->2072->2082->2069->2046->2038->2033->2030->2044->2028->2014->1968->1955->1902->1895->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1763->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1687->1672->1665->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1469->1465->1460->1430->1423->1401->1391->1384->1386->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1234->1219->1206->1228->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->861->857->856->851->818->813->810->812->805->786->762->761->757->755->725->715->711->708->705->696->691->697->698->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->532->542->534->539->526->524->522->508->519->747->737->476->469->463->731->744->739->727->726->430->408->393->688->373->361->626->365->353->348->346->594->331->521->520->514->516->509->493->491->487->492->500->262->259->254->235->233->232->230->229->217->228->210->206->209->201->198->409->404->392->390->383->385->380->178->174->335->338->164->163->162->155->108->51->52->57->80->65->116->215->182->248->253->20->32->45->27->34->54->29->49->121->94->67->85->100->119->114->122->123->125->133->134->181->143->146->156->187->195->211->212->173->185->197->204->202->260->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->471->482->497->517->518->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->791->815->816->821->826->830->839->842->849->852->860->864->876->866->867->870->880->882->889->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1100->1110->2500->2461,2461->2500
N2500_PS_spots_per_lot_S4060_I1,2500,7696,125,2491,2500,0.9,0.5,20.5,0.9,True,1945489.33,2476,593,2476_S001,near,0.29710000000000053,0.001204,0.002733,0.1661,0.0332,0.1661,0.035933,6.2,1.0205105515485486,2491->2493->2487->2484->2481->2341->2340->2332->2328->2326->2320->2317->2300->2282->2268->2263->2256->2252->2251->2247->2244->2240->2226->2237->2220->2235->2236->2218->2228->2211->2202->2178->2156->2170->2155->2154->2130->2109->2098->2085->2072->2082->2069->2046->2038->2033->2030->2044->2028->2014->1968->1955->1902->1900->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1763->1740->1736->1735->1731->1718->1713->1707->1697->1693->1689->1681->1677->1702->1687->1672->1665->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1465->1460->1430->1423->1406->1401->1391->1384->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1234->1219->1206->1228->1203->1194->1197->1183->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->857->856->851->813->810->805->786->762->776->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->566->561->532->542->534->792->772->525->527->508->501->476->469->463->450->739->727->726->720->714->712->706->387->381->690->680->373->646->638->641->631->623->348->346->344->558->314->491->266->262->464->456->457->206->209->201->198->196->392->390->383->380->178->174->168->341->335->338->163->162->172->105->95->87->136->127->56->38->78->182->5->6->2->7->14->15->24->19->28->22->26->33->45->27->34->54->29->89->98->94->67->85->111->119->114->129->122->123->125->133->134->181->143->146->156->166->158->170->173->185->192->231->197->204->202->260->263->268->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->461->462->471->482->495->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->791->815->816->821->826->830->839->842->849->852->860->864->866->875->867->870->880->882->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1068->1071->1077->1079->1091->1100->1110->1120->1122->1139->1167->1168->1181->1175->1178->1192->1180->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1366->1362->1368->1385->1379->1382->1387->1390->1403->1417->1434->1408->1426->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1590->1600->1618->1593->1601->1604->1607->1616->1620->1633->1641->1680->1688->1719->1739->1751->1755->1757->1776->1777->1798->1782->1785->1818->1821->1823->1824->1857->1859->1861->1871->1890->1907->1906->1940->1941->1951->1969->1980->1978->1982->1986->1987->1991->2001->2002->2005->2013->2047->2059->2063->2071->2074->2077->2079->2099->2100->2116->2118->2121->2134->2137->2148->2158->2169->2159->2174->2181->2186->2196->2207->2204->2208->2212->2217->2229->2476,2476->2500
N2500_PS_walking_distance_W075_I1,2500,7696,125,2491,2500,0.9,0.75,20.5,0.9,True,1135336.307,2441,561,2441_S015,mid,0.2821000000000006,0.005357,0.02281,0.2683,0.0537,0.2683,0.07651,8.95,0.9836815552791284,2491->2341->2328->2326->2320->2317->2300->2282->2268->2263->2256->2252->2251->2247->2257->2240->2226->2237->2223->2220->2235->2218->2228->2214->2211->2202->2178->2156->2183->2155->2154->2130->2109->2098->2085->2072->2078->2069->2046->2038->2033->2030->2044->2028->2014->1968->1955->1902->1895->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1763->1740->1736->1735->1731->1718->1713->1707->1693->1689->1681->1677->1672->1665->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1465->1460->1430->1423->1401->1391->1384->1386->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1252->1219->1206->1212->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->857->856->851->818->813->810->812->805->786->762->761->757->755->725->715->711->708->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->538->561->532->542->534->530->539->526->525->527->508->501->476->469->463->450->437->727->726->430->408->393->387->381->680->373->361->626->366->344->558->321->309->314->491->487->500->262->475->458->464->456->457->206->210->228->217->229->420->418->409->404->392->390->196->193->190->183->178->174->168->341->333->326->318->301->153->147->138->88->79->57->80->126->116->215->182->1->2->6->10->11->15->18->17->16->14->13->3->4->8->12->24->19->20->32->45->27->34->54->29->49->85->111->100->119->114->122->123->125->133->134->181->143->146->156->166->167->177->187->195->211->212->224->231->192->199->204->202->260->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->461->462->471->482->497->517->518->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->791->815->816->821->826->830->839->842->849->852->860->864->866->867->870->880->882->887->893->894->910->933->944->946->956->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1092->1100->1110->1120->1116->1122->1139->1167->1168->1181->1175->1178->1192->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1366->1362->1368->1379->1381->1387->1390->1403->1417->1434->1426->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1590->1600->1618->1593->1601->1604->1607->1616->1620->1633->1641->1680->1688->1719->1739->1751->1755->1757->1776->1777->1798->1782->1785->1818->1821->1823->1824->1857->1861->1871->1890->1907->1906->1940->1941->1951->1969->1980->1978->1982->1987->1991->2001->2002->2005->2013->2047->2059->2063->2071->2074->2077->2079->2099->2100->2116->2118->2121->2134->2137->2148->2158->2169->2171->2159->2174->2181->2195->2186->2196->2204->2208->2212->2217->2229->2452->2441,2441->2500
N40_PS_parking_cost_80_205_I1,40,184,2,29,40,0.9,0.5,20.5,0.9,True,342.553,39,1,39_S001,near,0.0278,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.8957625068711277,29->27->32->20->18->17->14->5->1->21->23->36->25->31->39,39->40
N40_PS_spot_availability_A40_I1,40,184,2,29,40,0.9,0.5,20.5,0.9,True,389.378,39,1,39_S001,near,0.0286,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.8580014303515058,29->34->30->22->19->24->12->6->1->21->23->36->31->39,39->40
N40_PS_traffic_very_low_I1,40,184,2,29,40,0.9,0.5,20.5,0.9,True,348.941,39,1,39_S001,near,0.022799999999999997,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.8924336998465944,29->27->33->30->22->19->24->12->6->1->21->35->25->31->39,39->40
