Case,Nodes,Edges,ParkingLots,Source,Destination,Alpha,Wmax,Cmax,WeightW,FeasibleParking,runtime_ms,ParkingNode,ParkingSpotIndex,ParkingSpotId,SpotClass,drive_time_hr,internal_drive_time_hr,internal_walk_time_hr,external_walk_distance_km,external_walk_time_hr,walk_distance_km,walk_time_hr,parking_cost,objective,DrivePath,WalkPath
N2000_C10_I1,2000,6198,100,1968,2000,0.9,0.5,20.5,0.9,True,875515.351,1982,514,1982_S001,near,0.27490000000000053,0.00162,0.003289,0.178,0.0356,0.178,0.038889,14.71,1.0741986344650143,1968->1955->1807->1789->1788->1781->1779->1774->1771->1780->1778->1766->1764->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1687->1672->1665->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1547->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1469->1465->1460->1430->1423->1406->1401->1391->1384->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1252->1219->1206->1212->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->857->856->851->818->813->810->805->786->762->761->757->755->741->725->715->711->708->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->581->560->549->547->545->543->540->538->566->561->532->542->534->539->526->524->522->508->519->501->476->469->463->450->436->430->408->712->706->690->680->663->677->688->375->371->362->646->638->644->373->356->350->365->348->346->344->349->334->558->314->321->521->520->514->523->298->500->259->254->235->233->438->425->206->209->201->198->196->392->390->383->380->370->178->174->168->164->163->130->90->83->97->93->273->74->66->101->157->188->200->247->249->252->221->17->4->8->15->24->19->20->32->30->34->54->53->89->49->85->100->119->114->122->123->125->133->134->181->191->184->189->216->187->177->167->158->173->185->192->204->202->260->263->275->288->290->293->297->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->453->455->460->468->471->482->495->497->517->518->536->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->765->764->766->783->784->793->791->815->816->821->826->830->839->842->849->852->860->864->866->867->870->880->882->889->887->893->894->910->933->944->946->948->976->978->985->991->995->1011->1017->1024->1031->1071->1077->1079->1091->1092->1100->1110->1120->1122->1139->1167->1168->1181->1175->1178->1192->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1379->1382->1387->1390->1403->1417->1408->1426->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1590->1600->1618->1593->1601->1604->1607->1616->1620->1630->1633->1641->1680->1688->1719->1739->1751->1982,1982->2000
N2000_C4_I1,2000,6198,100,1968,2000,0.9,1.0,20.5,0.9,True,520216.83,1941,666,1941_S001,near,0.25490000000000035,0.001538,0.002887,0.2561,0.0512,0.2561,0.054087,8.63,0.7875347330736374,1968->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1672->1665->1673->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1469->1465->1460->1430->1423->1401->1391->1384->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1277->1262->1257->1254->1252->1219->1206->1212->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1105->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->961->929->924->917->912->907->904->903->896->892->905->888->885->878->877->874->865->857->856->851->813->810->805->786->762->761->757->755->741->725->715->711->708->705->696->691->697->689->687->681->674->667->661->659->669->657->636->609->599->592->588->576->574->586->568->575->581->560->549->547->545->543->540->538->561->548->542->534->539->526->525->527->508->501->476->469->463->450->437->436->430->422->415->408->393->387->381->680->372->375->371->362->361->638->373->356->350->353->348->346->344->334->603->614->612->337->331->329->324->321->309->298->299->289->284->266->487->492->485->479->475->458->466->262->259->254->235->233->232->244->230->229->217->228->210->206->209->201->198->196->193->190->183->178->174->168->164->163->162->120->117->112->110->142->124->118->95->87->99->83->76->73->48->47->42->77->72->41->62->101->182->5->1->9->10->11->4->8->15->24->19->28->22->30->33->45->27->34->54->53->89->49->85->111->119->114->122->123->125->133->152->134->181->143->146->189->216->223->166->177->167->158->170->173->185->197->204->202->260->265->263->275->288->290->293->297->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->453->455->460->461->462->471->482->497->517->518->536->537->546->551->553->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->793->791->815->816->822->821->826->830->839->842->849->852->860->864->866->867->870->880->882->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1100->1110->1120->1122->1139->1167->1168->1181->1175->1189->1191->1199->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1379->1382->1387->1390->1403->1417->1434->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1588->1590->1599->1618->1593->1601->1604->1595->1607->1616->1620->1630->1633->1641->1680->1688->1719->1739->1751->1941,1941->2000
N2000_C8_I1,2000,6198,100,1968,2000,0.1,0.5,20.5,0.1,True,758613.413,1982,514,1982_S001,near,0.2696000000000007,0.00162,0.003289,0.178,0.0356,0.178,0.038889,6.46,1.0113254167011245,1968->1955->1807->1789->1806->1781->1779->1774->1771->1780->1778->1766->1764->1763->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1687->1672->1665->1673->1664->1655->1649->1643->1637->1628->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1465->1460->1430->1423->1406->1401->1391->1384->1386->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1252->1219->1206->1212->1203->1194->1197->1183->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1099->1089->1075->1069->1065->1064->1063->1051->1055->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->907->904->903->896->892->905->888->885->878->877->874->865->861->857->856->851->818->813->810->805->786->762->776->757->755->725->715->711->708->723->705->696->691->697->689->687->681->674->667->659->657->636->609->599->592->588->576->574->586->568->575->581->560->549->547->545->543->540->538->561->532->542->534->539->526->524->522->508->501->476->469->463->450->436->430->408->393->387->690->680->663->677->688->375->371->362->646->638->373->356->350->365->348->346->344->334->558->314->493->289->284->266->262->259->254->235->457->206->209->201->198->196->193->190->183->178->174->168->164->333->326->318->301->292->278->155->169->175->162->163->130->90->83->97->99->93->273->74->66->101->159->157->188->200->249->252->221->17->4->8->15->24->19->28->22->30->34->54->53->89->49->85->100->119->114->122->123->125->133->134->181->191->184->189->216->187->177->167->158->173->185->197->204->202->260->265->263->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->403->413->440->449->455->460->468->462->471->482->495->497->517->518->536->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->765->764->766->783->784->791->815->816->822->821->826->830->839->854->842->849->852->860->864->876->866->867->870->880->882->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1071->1077->1079->1091->1100->1110->1120->1122->1139->1167->1168->1181->1175->1178->1192->1204->1180->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1379->1382->1387->1390->1403->1417->1434->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1531->1522->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1588->1590->1600->1618->1593->1601->1595->1607->1616->1620->1630->1633->1641->1680->1688->1719->1739->1751->1982,1982->2000
N2500_C2_I1,2500,8528,125,2491,2500,0.9,0.5,20.5,0.9,True,499807.246,2476,340,2476_S001,near,0.17579999999999996,0.001553,0.003145,0.1661,0.0332,0.1661,0.036345,6.65,0.7598639420209572,2491->2341->1895->1902->1955->1968->2014->2028->1673->1665->1672->1687->1677->1681->1689->1311->1027->1036->1037->681->687->689->362->373->172->105->95->87->97->204->602->615->628->637->642->658->668->694->700->713->721->734->745->748->1092->1100->1110->1462->1463->1481->1497->1499->1821->1818->2186->2485->2476,2476->2500
N2500_C6_I1,2500,7696,125,2491,2500,0.9,0.5,20.5,0.9,True,893343.336,2490,294,2490_S001,near,1.2076000000000005,0.001547,0.002941,0.1348,0.027,0.1348,0.029941,9.13,1.6095260792285389,2491->2487->2341->2328->2326->2320->2317->2300->2282->2268->2263->2256->2252->2251->2247->2257->2240->2226->2237->2220->2235->2236->2218->2228->2211->2202->2187->2178->2156->2170->2155->2154->2136->2130->2109->2098->2085->2072->2082->2069->2046->2038->2033->2030->2044->2028->2014->1968->1955->1902->1895->1894->1893->1882->1872->1864->1869->1863->1860->1841->1840->1832->1827->1826->1814->1813->1807->1789->1788->1781->1779->1774->1784->1780->1778->1767->1764->1740->1736->1735->1731->1718->1713->1707->1693->1681->1677->1687->1672->1665->1664->1655->1649->1643->1637->1628->1625->1610->1587->1579->1552->1550->1548->1530->1537->1525->1492->1490->1488->1495->1479->1486->1471->1465->1460->1430->1423->1401->1391->1384->1380->1374->1373->1369->1359->1355->1344->1311->1301->1310->1298->1290->1281->1274->1270->1279->1262->1257->1254->1234->1219->1206->1228->1203->1194->1197->1177->1170->1153->1152->1149->1142->1134->1130->1125->1117->1113->1129->1111->1105->1099->1089->1075->1069->1065->1064->1063->1051->1042->1039->1050->1037->1036->1027->1006->988->981->969->929->924->917->912->904->903->896->892->905->888->885->878->877->874->865->861->857->856->851->818->813->810->805->786->762->761->776->757->755->725->715->711->723->705->696->691->697->689->687->681->674->667->659->669->657->636->609->599->592->588->576->574->586->568->575->564->560->549->547->545->543->540->566->561->532->548->542->534->539->526->525->527->508->747->737->733->469->463->467->450->739->727->437->436->430->408->393->387->372->381->680->373->356->350->626->625->346->558->314->491->487->492->266->262->464->456->457->206->209->201->198->392->390->383->380->178->174->168->164->163->162->172->105->118->124->142->160->117->96->60->48->82->101->62->273->264->267->55->38->39->44->104->102->218->220->16->17->18->24->19->20->26->32->33->30->34->54->53->89->98->67->85->100->119->114->122->123->125->133->134->181->143->146->156->187->177->167->158->173->185->197->204->202->260->263->268->275->288->290->293->306->317->358->363->379->384->394->407->396->397->401->406->398->399->403->413->440->454->449->453->455->460->468->471->482->495->497->517->518->537->546->551->553->554->555->562->569->570->573->593->600->602->615->628->637->642->658->668->694->700->713->721->734->745->748->749->753->763->764->766->783->784->791->815->816->821->826->830->839->842->849->852->860->864->866->867->870->880->882->887->893->894->910->933->944->946->948->976->978->985->991->995->1017->1024->1031->1068->1071->1077->1079->1091->1092->1100->1110->1120->1122->1139->1167->1168->1173->1175->1178->1192->1204->1182->1184->1193->1205->1210->1223->1229->1230->1241->1232->1237->1242->1244->1251->1269->1275->1278->1296->1322->1330->1348->1364->1353->1358->1361->1362->1368->1379->1381->1387->1390->1403->1417->1434->1428->1453->1462->1463->1481->1497->1500->1502->1503->1508->1510->1512->1521->1531->1518->1528->1540->1542->1554->1555->1568->1576->1582->1583->1594->1586->1588->1599->1600->1618->1593->1601->1595->1607->1616->1620->1633->1641->2500->2499->2490,2490->2500
N30_C10_I1,30,142,2,25,30,0.9,0.5,20.5,0.9,True,624.473,27,31,27_S001,near,0.023400000000000004,0.00172,0.003863,0.2521,0.0504,0.2521,0.054263,16.21,0.96965740466615,25->23->1->5->10->16->18->20->26->27,27->30
N30_C4_I1,30,142,2,25,30,0.9,1.0,20.5,0.9,True,646.241,29,1,29_S001,near,0.0264,0.001488,0.002402,0.12,0.024,0.12,0.026402000000000002,13.34,0.7065719761016979,25->23->1->6->11->15->24->28->20->26->27->29,29->30
N30_C8_I1,30,142,2,25,30,0.1,0.5,20.5,0.1,True,621.487,29,1,29_S001,near,0.0264,0.001584,0.002882,0.12,0.024,0.12,0.026882,13.28,0.7007996092888577,25->23->1->6->11->15->24->28->20->26->27->29,29->30
N40_C2_I1,40,196,2,29,40,0.9,0.5,20.5,0.9,True,702.568,39,1,39_S001,near,0.023,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.8767088243321312,29->10->6->5->39,39->40
N40_C6_I1,40,184,2,29,40,0.9,0.5,20.5,0.9,True,876.742,39,1,39_S001,near,0.0762,0.00149,0.002788,0.12,0.024,0.12,0.026788,19.67,0.9617734163392876,29->33->26->20->18->15->8->7->2->1->21->23->36->25->37->39,39->40
