from_node,to_node,walk_distance_m,walk_distance_km,walk_time_hr,feasible
10129296995,2296395497,1636.6457,1.6366,0.3273,0
1013323718,2296395497,409.9148,0.4099,0.082,1
1013323719,2296395497,492.7623,0.4928,0.0986,1
10136635288,2296395497,2194.6483,2.1946,0.4389,0
10220643198,2296395497,2207.0372,2.207,0.4414,0
10220643199,2296395497,2204.7059,2.2047,0.4409,0
12708745103,2296395497,2392.9772,2.393,0.4786,0
12751376331,2296395497,999.4603,0.9995,0.1999,0
12751376389,2296395497,788.8801,0.7889,0.1578,0
12751376390,2296395497,761.8935,0.7619,0.1524,0
12751376391,2296395497,872.9196,0.8729,0.1746,0
12751665809,2296395497,899.3143,0.8993,0.1799,0
12803499336,2296395497,2226.6616,2.2267,0.4453,0
12969191289,2296395497,414.1779,0.4142,0.0828,1
13130143614,2296395497,1933.5881,1.9336,0.3867,0
13252209958,2296395497,444.2783,0.4443,0.0889,1
1489268449,2296395497,2255.291,2.2553,0.4511,0
1489841889,2296395497,1481.4037,1.4814,0.2963,0
1507472822,2296395497,1180.4249,1.1804,0.2361,0
1514895831,2296395497,1684.4753,1.6845,0.3369,0
15434380,2296395497,1804.0815,1.8041,0.3608,0
1564571441,2296395497,635.6323,0.6356,0.1271,0
1588087912,2296395497,1476.5848,1.4766,0.2953,0
1588087948,2296395497,1572.453,1.5725,0.3145,0
1588088092,2296395497,1893.9138,1.8939,0.3788,0
1588088186,2296395497,2468.2329,2.4682,0.4936,0
1588088195,2296395497,2598.1937,2.5982,0.5196,0
1592136089,2296395497,1386.9741,1.387,0.2774,0
1594214784,2296395497,2273.8127,2.2738,0.4548,0
1594214788,2296395497,2058.3677,2.0584,0.4117,0
1594214797,2296395497,2065.695,2.0657,0.4131,0
1594214801,2296395497,2137.3088,2.1373,0.4275,0
1762715583,2296395497,959.5479,0.9595,0.1919,0
1772228771,2296395497,746.8308,0.7468,0.1494,0
2027440548,2296395497,1565.8265,1.5658,0.3132,0
2144935899,2296395497,991.8409,0.9918,0.1984,0
2144936033,2296395497,1162.8047,1.1628,0.2326,0
2160064016,2296395497,1642.0267,1.642,0.3284,0
292190541,2296395497,65.5138,0.0655,0.0131,1
292190553,2296395497,266.2621,0.2663,0.0533,1
292190555,2296395497,451.6214,0.4516,0.0903,1
298584875,2296395497,2208.5252,2.2085,0.4417,0
298584878,2296395497,2010.6751,2.0107,0.4021,0
298584879,2296395497,2077.0125,2.077,0.4154,0
298584892,2296395497,1874.9264,1.8749,0.375,0
298584893,2296395497,1971.8222,1.9718,0.3944,0
298584894,2296395497,1839.1692,1.8392,0.3678,0
298584896,2296395497,1791.1516,1.7912,0.3582,0
298584897,2296395497,1714.4815,1.7145,0.3429,0
298584936,2296395497,1757.2018,1.7572,0.3514,0
298584984,2296395497,1603.1733,1.6032,0.3206,0
298585000,2296395497,1664.8652,1.6649,0.333,0
298585001,2296395497,1495.343,1.4953,0.2991,0
300186055,2296395497,1512.208,1.5122,0.3024,0
300190242,2296395497,1421.6548,1.4217,0.2843,0
300190245,2296395497,1213.8783,1.2139,0.2428,0
306013433,2296395497,324.8036,0.3248,0.065,1
306013441,2296395497,196.4998,0.1965,0.0393,1
306013442,2296395497,806.3131,0.8063,0.1613,0
335820891,2296395497,893.3656,0.8934,0.1787,0
335820892,2296395497,851.1909,0.8512,0.1702,0
335820953,2296395497,969.5727,0.9696,0.1939,0
387526911,2296395497,408.0025,0.408,0.0816,1
387552359,2296395497,2807.5838,2.8076,0.5615,0
392323915,2296395497,1756.2349,1.7562,0.3512,0
411929172,2296395497,1875.4459,1.8754,0.3751,0
414478048,2296395497,2386.0996,2.3861,0.4772,0
416184890,2296395497,1713.5321,1.7135,0.3427,0
416185950,2296395497,526.5118,0.5265,0.1053,0
416186645,2296395497,1683.6815,1.6837,0.3367,0
416187388,2296395497,1905.7537,1.9058,0.3812,0
416190298,2296395497,1960.506,1.9605,0.3921,0
416191189,2296395497,1435.7996,1.4358,0.2872,0
416191302,2296395497,2014.4301,2.0144,0.4029,0
416191760,2296395497,2125.6177,2.1256,0.4251,0
416196556,2296395497,1177.8829,1.1779,0.2356,0
416208085,2296395497,1610.2789,1.6103,0.3221,0
416208856,2296395497,2136.8279,2.1368,0.4274,0
416210563,2296395497,2329.9658,2.33,0.466,0
416211832,2296395497,555.5238,0.5555,0.1111,0
