edge_id,from_node,to_node,length_m,speed_mps,drive_time_s,num_lanes
-1004455330,299276361,292190572,428.6,11.0001,38.9631,2
-1004455331,345085054,299276361,22.7,12.8924,1.7607,2
-1004455332,9267707208,345085054,32.4,10.2389,3.1644,2
-1023951574,293815289,9442302167,106.65,11.9945,8.8916,1
-1023951575,9442302167,286311094,48.3,9.9486,4.8549,1
-1023951576,1685306649,1685306650,77.77,12.4639,6.2396,2
-1023951577#1,1685306669,9442302168,58.79,10.1053,5.8177,2
-1023951577#3,286311090,1685306669,39.82,8.8603,4.4942,2
-1023951578#2,cluster_251817694_3144361905_4711821578_8891450375_#1more,9442302169,79.4,13.5862,5.8442,2
-1023951579#2,344967316,30255446,105.6,12.0408,8.7702,2
-1023951580,4440816377,9442302170,66.48,10.0051,6.6446,1
-1023951581#1,9442302170,30255443,61.88,11.6824,5.2969,2
-1023951582#1,30255443,9442302171,85.72,12.3974,6.9144,1
-1023951583#1,9442302172,cluster_1475177974_293956350_8241462469,43.07,11.3971,3.779,3
-1023951584#2,30255438,9442302173,74.66,11.91,6.2687,1
-1023951585,418988966,1475151214,0.2,8.7791,0.0228,1
-1023951588#1,287354800,421138214,61.98,8.8518,7.0019,2
-1023951589#1,9442302175,298509028,65.27,11.9141,5.4784,3
-1023960570#4,9442405983,8189608959,147.55,11.0721,13.3262,2
-1023960571#2,21456881,9442405983,64.88,9.7514,6.6534,2
-1023960572#2,21456881,297024074,40.61,11.4612,3.5433,2
-1023960574#3,21305998,376119030,71.94,10.4808,6.8639,2
-1023965122#4,1553391593,21456881,65.33,8.9108,7.3315,3
-1023965123#1,299045509,418988960,50.88,13.4782,3.775,1
-1023965124#0,299045505,2256351534,23.33,10.884,2.1435,1
-1023965124#1,363730875,299045505,81.74,12.6993,6.4366,1
-1023965124#2,443127184,363730875,118.72,9.7149,12.2203,1
-1023965124#4,9442456743,443127184,92.31,9.8856,9.3378,1
-1023965125#2,299045511,9442456743,55.3,12.8551,4.3018,1
-1023965126#1,9442456744,299045511,45.28,10.4721,4.3239,2
-1023965127#4,299391259,9442456746,92.12,11.1886,8.2334,3
-1023965128#1,338450586,9442456745,65.69,12.788,5.1369,2
-1023965129#2,9442456746,338450586,47.55,9.9409,4.7833,2
-1023981543#2,255942725,9442600124,85.59,9.1926,9.3107,1
-1023981544#0,255942729,9442600125,2.48,11.7074,0.2118,1
-1023981544#2,9442600124,255942729,11.27,9.9006,1.1383,1
-1023981545#0,416270941,9442600126,2.35,10.2861,0.2285,1
-1023981545#1,9442600125,416270941,19.15,13.0448,1.468,1
-1023981546#2,9442600127,15434363,65.84,12.4685,5.2805,2
-1023981547,4616498255,9442600128,43.19,12.4995,3.4553,2
-1023981549#3,250931960,9442600129,43.24,9.3894,4.6052,1
-1023981550#2,7041183462,250197378,35.3,12.9611,2.7235,2
-1023981551#3,1592027518,250197369,36.7,10.9511,3.3513,1
-1023981552,250197369,2372876949,25.76,10.3572,2.4872,1
-1023981553#2,9442600131,1592027518,33.35,11.5231,2.8942,2
-1023981606#1,21456894,9442600168,58.13,12.5104,4.6465,1
-1023981607#1,15434374,9442600169,40.76,10.3734,3.9293,1
-1023981608,9442600170,298584852,42.57,10.9528,3.8867,2
-1023987959#1,15434363,442766018,34.76,9.5298,3.6475,1
-1023987960,442766018,9442675964,10.82,13.0969,0.8261,2
-1023987962,9442675965,390111756,15.3,9.3309,1.6397,2
-1023987963#1,4458644201,310718855,44.87,11.0151,4.0735,2
-1023987968#1,6091317360,9442675968,25.26,13.0848,1.9305,2
-1023987969#2,9442675968,250931958,90.79,13.2957,6.8285,3
-1024001996#2,13319810691,9442789560,104.07,10.052,10.3532,2
-1024001998#2,13319810686,9442789561,28.62,11.7331,2.4393,2
-1024001999,9442789561,9442789562,7.77,8.365,0.9289,3
-1024002001#0,280645603,9442789568,41.14,9.6466,4.2647,2
-1024002001#2,7086411992,280645603,4.01,9.7953,0.4094,2
-1024002002#1,9442789569,1553072912,60.18,12.1875,4.9379,3
-1024002003#2,1553072912,1553050146,84.96,9.1746,9.2603,2
-1024002004#1,9442789570,283678986,79.09,9.3862,8.4262,3
-1024002005#1,283678986,9442789571,61.18,10.5197,5.8158,2
-1024002006,9442789572,283678984,88.24,11.283,7.8206,3
-1024002007#1,9442789573,293911986,11.61,13.2749,0.8746,2
-1024002008#1,297024077,9442789574,24.6,10.3015,2.388,2
-1024002010,9442789575,9442789576,33.02,11.8691,2.782,3
-1024002011#2,9442789576,298584879,37.64,13.107,2.8718,3
-1024002012#1,298584879,9442789577,76.63,9.5412,8.0315,2
-1024002013#2,298584936,298585000,110.38,11.1298,9.9175,2
-1024002013#5,418988937,298584936,112.37,12.5374,8.9628,2
-1024728901#1,9448986018,295406696,23.38,12.6833,1.8434,2
-1024728902#2,298510756,9448986019,33.0,12.0944,2.7285,1
-1024728903#2,9448986020,292190560,73.87,11.8953,6.21,2
-1024728904#1,cluster_2306411109_420326577,1475138181,26.46,13.1561,2.0112,1
-1024728905#1,9448986022,9448986021,4.13,11.1251,0.3712,1
-1024728906,1914277251,9448986022,1.97,11.1908,0.176,2
-1024728907#1,345084778,cluster_290577265_541208444_8105157841,76.28,8.4751,9.0005,3
-1024728908,345084800,9448986023,18.16,12.3297,1.4729,3
-1024728909#1,9448986023,345084778,16.43,12.6127,1.3027,2
-1024728918#1,1489637009,297024081,30.49,9.4858,3.2143,2
-1024728920#2,297024081,9448986030,21.65,10.013,2.1622,2
-1024728921#1,7369497883,412859589,35.78,10.7182,3.3383,1
-1025389571#2,297322814,297322754,92.26,9.8109,9.4038,1
-1025389598#1,296501324,296501314,61.67,10.0116,6.1598,1
-1025389598#3,296501590,296501324,46.21,8.6945,5.3148,1
-1025389598#5,296501518,296501590,2.63,13.2474,0.1985,1
-1034689641,2002201332,8189608931,41.86,11.1843,3.7427,2
-1035878761#1,295406696,1509407617,32.7,13.1696,2.483,1
-1035878874#0,293956353,306201745,28.55,9.1783,3.1106,1
-1035878874#3,295406694,293956353,144.21,11.6585,12.3695,1
-1037428644#2,293911983,9556765873,74.21,8.6348,8.5943,1
-1037428711,9556778321,293302282,78.35,11.1611,7.0199,2
-1037428728#1,9584102247,500375337,43.29,8.6681,4.9942,2
-1037428996#1,1677703303,306201754,168.3,9.3274,18.0435,1
-1037429000#1,306201745,287354802,67.58,10.8883,6.2067,1
-1037829043#0,338450585,338450584,37.79,11.697,3.2307,1
-1037829043#2,12034992496,338450585,170.5,9.0486,18.8427,1
-1040978932#1,421138218,298584871,18.72,12.4727,1.5009,1
-1040978934#1,cluster_1592136105_4611993426_6835825384,9584102220,53.25,9.9983,5.3259,1
-1040978935#1,442755843,9584102221,23.9,12.4483,1.9199,1
-1040978935#6,298585001,442755843,77.53,9.617,8.0618,1
-1040978935#9,2027440548,298585001,72.78,10.9885,6.6233,1
-1040978936,9584102221,442755844,43.47,8.5794,5.0668,2
-1040978937#1,442755844,9584102222,45.5,10.2456,4.4409,1
-1040978938#0,442755851,9584102223,3.05,11.7185,0.2603,1
