edge_id,from_node,to_node,length_m,speed_mps,drive_time_s,num_lanes
-1004455330,299276361,292190572,428.6,4.5143,94.9437,2
-1004455331,345085054,299276361,22.7,4.5142,5.0286,2
-1004455332,9267707208,345085054,32.4,4.5143,7.1772,2
-1023951574,293815289,9442302167,106.65,4.5142,23.6252,1
-1023951575,9442302167,286311094,48.3,4.5143,10.6994,1
-1023951576,1685306649,1685306650,77.77,4.5142,17.2277,2
-1023951577#1,1685306669,9442302168,58.79,4.5143,13.0231,2
-1023951577#3,286311090,1685306669,39.82,4.5143,8.8209,2
-1023951578#2,cluster_251817694_3144361905_4711821578_8891450375_#1more,9442302169,79.4,4.5143,17.5886,2
-1023951579#2,344967316,30255446,105.6,4.5142,23.3926,2
-1023951580,4440816377,9442302170,66.48,4.5142,14.7268,1
-1023951581#1,9442302170,30255443,61.88,4.5143,13.7077,2
-1023951582#1,30255443,9442302171,85.72,4.5143,18.9886,1
-1023951583#1,9442302172,cluster_1475177974_293956350_8241462469,43.07,4.5142,9.5409,3
-1023951584#2,30255438,9442302173,74.66,4.5142,16.5388,1
-1023951585,418988966,1475151214,0.2,4.5147,0.0443,1
-1023951588#1,287354800,421138214,61.98,4.5143,13.7298,2
-1023951589#1,9442302175,298509028,65.27,4.5142,14.4588,3
-1023960570#4,9442405983,8189608959,147.55,4.5142,32.6855,2
-1023960571#2,21456881,9442405983,64.88,4.5142,14.3723,2
-1023960572#2,21456881,297024074,40.61,3.6107,11.2471,2
-1023960574#3,21305998,376119030,71.94,5.4178,13.2785,2
-1023965122#4,1553391593,21456881,65.33,4.5142,14.472,3
-1023965123#1,299045509,418988960,50.88,4.5142,11.2711,1
-1023965124#0,299045505,2256351534,23.33,4.5143,5.168,1
-1023965124#1,363730875,299045505,81.74,4.5143,18.1071,1
-1023965124#2,443127184,363730875,118.72,4.5142,26.2991,1
-1023965124#4,9442456743,443127184,92.31,4.5142,20.4486,1
-1023965125#2,299045511,9442456743,55.3,4.5142,12.2502,1
-1023965126#1,9442456744,299045511,45.28,4.5142,10.0305,2
-1023965127#4,299391259,9442456746,92.12,4.5142,20.4065,3
-1023965128#1,338450586,9442456745,65.69,4.5142,14.5517,2
-1023965129#2,9442456746,338450586,47.55,4.5143,10.5332,2
-1023981543#2,255942725,9442600124,85.59,4.5142,18.96,1
-1023981544#0,255942729,9442600125,2.48,4.5157,0.5492,1
-1023981544#2,9442600124,255942729,11.27,4.5141,2.4966,1
-1023981545#0,416270941,9442600126,2.35,4.514,0.5206,1
-1023981545#1,9442600125,416270941,19.15,4.5142,4.2422,1
-1023981546#2,9442600127,15434363,65.84,4.5143,14.5849,2
-1023981547,4616498255,9442600128,43.19,4.5143,9.5674,2
-1023981549#3,250931960,9442600129,43.24,4.5143,9.5785,1
-1023981550#2,7041183462,250197378,35.3,4.5142,7.8197,2
-1023981551#3,1592027518,250197369,36.7,4.5143,8.1298,1
-1023981552,250197369,2372876949,25.76,4.5142,5.7065,1
-1023981553#2,9442600131,1592027518,33.35,2.7072,12.3188,2
-1023981606#1,21456894,9442600168,58.13,4.5143,12.8769,1
-1023981607#1,15434374,9442600169,40.76,3.6107,11.2886,1
-1023981608,9442600170,298584852,42.57,3.6107,11.7898,2
-1023987959#1,15434363,442766018,34.76,7.2214,4.8135,1
-1023987960,442766018,9442675964,10.82,7.222,1.4982,2
-1023987962,9442675965,390111756,15.3,7.2211,2.1188,2
-1023987963#1,4458644201,310718855,44.87,7.2214,6.2135,2
-1023987968#1,6091317360,9442675968,25.26,4.5142,5.5957,2
-1023987969#2,9442675968,250931958,90.79,4.5142,20.112,3
-1024001996#2,13319810691,9442789560,104.07,4.5143,23.0535,2
-1024001998#2,13319810686,9442789561,28.62,4.5142,6.34,2
-1024001999,9442789561,9442789562,7.77,4.5143,1.7212,3
-1024002001#0,280645603,9442789568,41.14,4.5143,9.1132,2
-1024002001#2,7086411992,280645603,4.01,4.5142,0.8883,2
-1024002002#1,9442789569,1553072912,60.18,4.5143,13.3311,3
