edge_id,from_node,to_node,length_m,speed_mps,drive_time_s,num_lanes
-1004455330,299276361,292190572,428.6,16.205,26.4486,2
-1004455331,345085054,299276361,22.7,16.205,1.4008,2
-1004455332,9267707208,345085054,32.4,16.2049,1.9994,2
-1023951574,293815289,9442302167,106.65,16.205,6.5813,1
-1023951575,9442302167,286311094,48.3,16.2053,2.9805,1
-1023951576,1685306649,1685306650,77.77,16.2051,4.7991,2
-1023951577#1,1685306669,9442302168,58.79,16.205,3.6279,2
-1023951577#3,286311090,1685306669,39.82,16.2048,2.4573,2
-1023951578#2,cluster_251817694_3144361905_4711821578_8891450375_#1more,9442302169,79.4,16.2051,4.8997,2
-1023951579#2,344967316,30255446,105.6,16.205,6.5165,2
-1023951580,4440816377,9442302170,66.48,16.2048,4.1025,1
-1023951581#1,9442302170,30255443,61.88,16.2049,3.8186,2
-1023951582#1,30255443,9442302171,85.72,16.2051,5.2897,1
-1023951583#1,9442302172,cluster_1475177974_293956350_8241462469,43.07,16.2051,2.6578,3
-1023951584#2,30255438,9442302173,74.66,16.2051,4.6072,1
-1023951585,418988966,1475151214,0.2,16.2602,0.0123,1
-1023951588#1,287354800,421138214,61.98,16.2052,3.8247,2
-1023951589#1,9442302175,298509028,65.27,16.2049,4.0278,3
-1023960570#4,9442405983,8189608959,147.55,16.2048,9.1053,2
-1023960571#2,21456881,9442405983,64.88,16.205,4.0037,2
-1023960572#2,21456881,297024074,40.61,12.9616,3.1331,2
-1023960574#3,21305998,376119030,71.94,19.4485,3.699,2
-1023965122#4,1553391593,21456881,65.33,16.2049,4.0315,3
-1023965123#1,299045509,418988960,50.88,16.2049,3.1398,1
-1023965124#0,299045505,2256351534,23.33,16.2048,1.4397,1
-1023965124#1,363730875,299045505,81.74,16.2051,5.0441,1
-1023965124#2,443127184,363730875,118.72,16.2049,7.3262,1
-1023965124#4,9442456743,443127184,92.31,16.205,5.6964,1
-1023965125#2,299045511,9442456743,55.3,16.2051,3.4125,1
-1023965126#1,9442456744,299045511,45.28,16.205,2.7942,2
-1023965127#4,299391259,9442456746,92.12,16.2049,5.6847,3
-1023965128#1,338450586,9442456745,65.69,16.2049,4.0537,2
-1023965129#2,9442456746,338450586,47.55,16.2049,2.9343,2
-1023981543#2,255942725,9442600124,85.59,16.205,5.2817,1
-1023981544#0,255942729,9442600125,2.48,16.2092,0.153,1
-1023981544#2,9442600124,255942729,11.27,16.2042,0.6955,1
-1023981545#0,416270941,9442600126,2.35,16.2069,0.145,1
-1023981545#1,9442600125,416270941,19.15,16.2055,1.1817,1
-1023981546#2,9442600127,15434363,65.84,16.2052,4.0629,2
-1023981547,4616498255,9442600128,43.19,16.2052,2.6652,2
-1023981549#3,250931960,9442600129,43.24,16.2051,2.6683,1
-1023981550#2,7041183462,250197378,35.3,16.2053,2.1783,2
-1023981551#3,1592027518,250197369,36.7,16.2052,2.2647,1
-1023981552,250197369,2372876949,25.76,16.2043,1.5897,1
-1023981553#2,9442600131,1592027518,33.35,9.7182,3.4317,2
-1023981606#1,21456894,9442600168,58.13,16.2053,3.5871,1
-1023981607#1,15434374,9442600169,40.76,12.9615,3.1447,1
-1023981608,9442600170,298584852,42.57,12.9617,3.2843,2
-1023987959#1,15434363,442766018,34.76,25.9229,1.3409,1
-1023987960,442766018,9442675964,10.82,25.9286,0.4173,2
-1023987962,9442675965,390111756,15.3,25.9234,0.5902,2
-1023987963#1,4458644201,310718855,44.87,25.9229,1.7309,2
-1023987968#1,6091317360,9442675968,25.26,16.2048,1.5588,2
-1023987969#2,9442675968,250931958,90.79,16.205,5.6026,3
-1024001996#2,13319810691,9442789560,104.07,16.205,6.4221,2
-1024001998#2,13319810686,9442789561,28.62,16.2052,1.7661,2
-1024001999,9442789561,9442789562,7.77,16.2044,0.4795,3
-1024002001#0,280645603,9442789568,41.14,16.2051,2.5387,2
-1024002001#2,7086411992,280645603,4.01,16.202,0.2475,2
-1024002002#1,9442789569,1553072912,60.18,16.2049,3.7137,3
-1024002003#2,1553072912,1553050146,84.96,16.2051,5.2428,2
-1024002004#1,9442789570,283678986,79.09,16.205,4.8806,3
-1024002005#1,283678986,9442789571,61.18,16.2049,3.7754,2
-1024002006,9442789572,283678984,88.24,16.2048,5.4453,3
-1024002007#1,9442789573,293911986,11.61,16.2038,0.7165,2
-1024002008#1,297024077,9442789574,24.6,16.2045,1.5181,2
-1024002010,9442789575,9442789576,33.02,16.2053,2.0376,3
-1024002011#2,9442789576,298584879,37.64,16.2046,2.3228,3
-1024002012#1,298584879,9442789577,76.63,16.205,4.7288,2
-1024002013#2,298584936,298585000,110.38,16.2049,6.8115,2
-1024002013#5,418988937,298584936,112.37,16.205,6.9343,2
-1024728901#1,9448986018,295406696,23.38,12.9615,1.8038,2
-1024728902#2,298510756,9448986019,33.0,12.9615,2.546,1
-1024728903#2,9448986020,292190560,73.87,12.9617,5.6991,2
-1024728904#1,cluster_2306411109_420326577,1475138181,26.46,12.9617,2.0414,1
-1024728905#1,9448986022,9448986021,4.13,16.2088,0.2548,1
-1024728906,1914277251,9448986022,1.97,16.214,0.1215,2
-1024728907#1,345084778,cluster_290577265_541208444_8105157841,76.28,16.205,4.7072,3
-1024728908,345084800,9448986023,18.16,16.2056,1.1206,3
-1024728909#1,9448986023,345084778,16.43,16.2048,1.0139,2
-1024728918#1,1489637009,297024081,30.49,12.9618,2.3523,2
-1024728920#2,297024081,9448986030,21.65,12.9617,1.6703,2
-1024728921#1,7369497883,412859589,35.78,12.9619,2.7604,1
-1025389571#2,297322814,297322754,92.26,16.205,5.6933,1
-1025389598#1,296501324,296501314,61.67,16.2051,3.8056,1
-1025389598#3,296501590,296501324,46.21,16.2049,2.8516,1
-1025389598#5,296501518,296501590,2.63,16.2046,0.1623,1
-1034689641,2002201332,8189608931,41.86,16.2047,2.5832,2
-1035878761#1,295406696,1509407617,32.7,16.205,2.0179,1
-1035878874#0,293956353,306201745,28.55,12.9614,2.2027,1
-1035878874#3,295406694,293956353,144.21,12.9616,11.1259,1
-1037428644#2,293911983,9556765873,74.21,16.2048,4.5795,1
-1037428711,9556778321,293302282,78.35,16.2051,4.8349,2
-1037428728#1,9584102247,500375337,43.29,16.205,2.6714,2
