parking_node_id,x,y,parking_cost,walk_distance_m,walk_distance_km,walk_time_hr,feasible,hop_from_source,source_node,destination_node
1013323719,7409.16,1447.5,18.67,492.7623,0.4928,0.0986,1,54,7935712602,2296395497
444672672,7681.54,1779.15,15.84,484.6928,0.4847,0.0969,1,58,7935712602,2296395497
442760443,7922.84,1800.82,18.44,460.1713,0.4602,0.092,1,61,7935712602,2296395497
292190555,7618.59,1702.42,17.04,451.6214,0.4516,0.0903,1,58,7935712602,2296395497
13252209958,7603.04,1680.58,19.95,444.2783,0.4443,0.0889,1,59,7935712602,2296395497
442760431,7567.7,1634.07,20.06,435.4253,0.4354,0.0871,1,58,7935712602,2296395497
442760435,7472.46,1337.86,13.45,418.0085,0.418,0.0836,1,56,7935712602,2296395497
442760432,7511.89,1512.31,15.74,415.1924,0.4152,0.083,1,57,7935712602,2296395497
12969191289,7476.56,1357.23,11.52,414.1779,0.4142,0.0828,1,56,7935712602,2296395497
1013323718,7483.18,1388.28,13.71,409.9148,0.4099,0.082,1,55,7935712602,2296395497
387526911,7492.5,1431.8,17.52,408.0025,0.408,0.0816,1,56,7935712602,2296395497
442760444,7873.87,1730.41,8.88,388.9735,0.389,0.0778,1,60,7935712602,2296395497
306013433,7826.82,1660.3,19.65,324.8036,0.3248,0.065,1,59,7935712602,2296395497
292190553,7771.19,1579.85,11.22,266.2621,0.2663,0.0533,1,59,7935712602,2296395497
442760434,7724.11,1508.07,20.25,235.1979,0.2352,0.047,1,59,7935712602,2296395497
442760433,7717.14,1469.82,18.62,215.4717,0.2155,0.0431,1,58,7935712602,2296395497
306013441,7700.05,1390.37,10.64,196.4998,0.1965,0.0393,1,57,7935712602,2296395497
292190541,7842.62,1386.56,19.13,65.5138,0.0655,0.0131,1,58,7935712602,2296395497
376119030,7643.81,4323.34,17.15,2991.7339,2.9917,0.5983,0,48,7935712602,2296395497
376117839,7555.42,4288.96,8.15,2966.1517,2.9662,0.5932,0,49,7935712602,2296395497
1553391593,7135.86,4188.03,13.51,2944.5693,2.9446,0.5889,0,49,7935712602,2296395497
376117786,7466.99,4248.54,16.04,2937.4332,2.9374,0.5875,0,50,7935712602,2296395497
376117044,7377.34,4206.87,14.14,2910.6641,2.9107,0.5821,0,51,7935712602,2296395497
2753073648,6387.66,3814.82,10.51,2893.8305,2.8938,0.5788,0,51,7935712602,2296395497
376116378,7289.13,4166.61,18.02,2888.1125,2.8881,0.5776,0,52,7935712602,2296395497
9442405984,7262.99,4154.93,18.38,2882.2669,2.8823,0.5765,0,51,7935712602,2296395497
416185307,7914.87,4214.35,16.03,2872.6638,2.8727,0.5745,0,48,7935712602,2296395497
21456881,7156.3,4106.75,16.3,2860.7656,2.8608,0.5722,0,50,7935712602,2296395497
9442405983,7082.79,4071.22,8.79,2846.4193,2.8464,0.5693,0,49,7935712602,2296395497
8189608931,6339.24,3724.03,18.75,2842.7662,2.8428,0.5686,0,48,7935712602,2296395497
2002201332,6388.78,3746.55,9.36,2835.1161,2.8351,0.567,0,49,7935712602,2296395497
