from_node,to_node,walk_distance_m,walk_distance_km,walk_time_hr,feasible
1013323718,2296395497,409.9148,0.4099,0.082,1
1013323719,2296395497,492.7623,0.4928,0.0986,1
12662559492,2296395497,2647.8105,2.6478,0.5296,0
12697044460,2296395497,2765.2621,2.7653,0.5531,0
12969191289,2296395497,414.1779,0.4142,0.0828,1
13252209958,2296395497,444.2783,0.4443,0.0889,1
13329700713,2296395497,2628.1939,2.6282,0.5256,0
13329700764,2296395497,2697.0862,2.6971,0.5394,0
1553391593,2296395497,2944.5693,2.9446,0.5889,0
1588088186,2296395497,2468.2329,2.4682,0.4936,0
1588088195,2296395497,2598.1937,2.5982,0.5196,0
1623257629,2296395497,2819.5716,2.8196,0.5639,0
1703857751,2296395497,2487.8114,2.4878,0.4976,0
1911930957,2296395497,2452.3985,2.4524,0.4905,0
1946220905,2296395497,2730.4317,2.7304,0.5461,0
2002201332,2296395497,2835.1161,2.8351,0.567,0
21456881,2296395497,2860.7656,2.8608,0.5722,0
2753073648,2296395497,2893.8305,2.8938,0.5788,0
2753084568,2296395497,2816.1329,2.8161,0.5632,0
292190541,2296395497,65.5138,0.0655,0.0131,1
292190553,2296395497,266.2621,0.2663,0.0533,1
292190555,2296395497,451.6214,0.4516,0.0903,1
293911678,2296395497,2831.5908,2.8316,0.5663,0
293911986,2296395497,2763.9261,2.7639,0.5528,0
295699950,2296395497,2500.6059,2.5006,0.5001,0
295699952,2296395497,2562.6379,2.5626,0.5125,0
295704951,2296395497,2702.9046,2.7029,0.5406,0
295704964,2296395497,2501.0662,2.5011,0.5002,0
295704979,2296395497,2572.7026,2.5727,0.5145,0
295704998,2296395497,2656.0236,2.656,0.5312,0
297024074,2296395497,2798.7311,2.7987,0.5597,0
297024084,2296395497,2828.5337,2.8285,0.5657,0
297024109,2296395497,2654.4808,2.6545,0.5309,0
297024110,2296395497,2695.8519,2.6959,0.5392,0
297024112,2296395497,2701.6168,2.7016,0.5403,0
297024118,2296395497,2669.4403,2.6694,0.5339,0
298584836,2296395497,2534.9362,2.5349,0.507,0
298584837,2296395497,2590.3266,2.5903,0.5181,0
298584871,2296395497,2437.4602,2.4375,0.4875,0
298584872,2296395497,2568.0558,2.5681,0.5136,0
299045451,2296395497,2744.7753,2.7448,0.549,0
300153147,2296395497,2604.8877,2.6049,0.521,0
306013433,2296395497,324.8036,0.3248,0.065,1
306013441,2296395497,196.4998,0.1965,0.0393,1
310717154,2296395497,2789.0167,2.789,0.5578,0
335820951,2296395497,2681.409,2.6814,0.5363,0
376045510,2296395497,2701.6238,2.7016,0.5403,0
376114940,2296395497,2611.8985,2.6119,0.5224,0
376115090,2296395497,2563.609,2.5636,0.5127,0
376115373,2296395497,2515.8486,2.5158,0.5032,0
376115785,2296395497,2469.1425,2.4691,0.4938,0
376116109,2296395497,2736.2185,2.7362,0.5472,0
376116378,2296395497,2888.1125,2.8881,0.5776,0
376117044,2296395497,2910.6641,2.9107,0.5821,0
376117786,2296395497,2937.4332,2.9374,0.5875,0
376117839,2296395497,2966.1517,2.9662,0.5932,0
376119030,2296395497,2991.7339,2.9917,0.5983,0
376119159,2296395497,2791.9272,2.7919,0.5584,0
387526911,2296395497,408.0025,0.408,0.0816,1
387552359,2296395497,2807.5838,2.8076,0.5615,0
412689918,2296395497,2755.9617,2.756,0.5512,0
412859588,2296395497,2611.8981,2.6119,0.5224,0
416185307,2296395497,2872.6638,2.8727,0.5745,0
416200980,2296395497,2581.6232,2.5816,0.5163,0
416204338,2296395497,2466.5809,2.4666,0.4933,0
416218154,2296395497,2484.2195,2.4842,0.4968,0
416218655,2296395497,2439.5877,2.4396,0.4879,0
416219955,2296395497,2426.6431,2.4266,0.4853,0
416257325,2296395497,2532.9472,2.5329,0.5066,0
416297051,2296395497,2435.5304,2.4355,0.4871,0
418988976,2296395497,2739.4562,2.7395,0.5479,0
418996074,2296395497,2639.948,2.6399,0.528,0
418996075,2296395497,2665.5949,2.6656,0.5331,0
418996076,2296395497,2694.3175,2.6943,0.5389,0
418996077,2296395497,2723.4219,2.7234,0.5447,0
418996079,2296395497,2435.0032,2.435,0.487,0
418996081,2296395497,2816.0418,2.816,0.5632,0
421138218,2296395497,2466.6741,2.4667,0.4933,0
421138233,2296395497,2732.94,2.7329,0.5466,0
422348163,2296395497,2766.3864,2.7664,0.5533,0
4250580079,2296395497,2698.1501,2.6982,0.5396,0
429385249,2296395497,2751.568,2.7516,0.5503,0
442432391,2296395497,2698.4011,2.6984,0.5397,0
442760431,2296395497,435.4253,0.4354,0.0871,1
442760432,2296395497,415.1924,0.4152,0.083,1
442760433,2296395497,215.4717,0.2155,0.0431,1
442760434,2296395497,235.1979,0.2352,0.047,1
442760435,2296395497,418.0085,0.418,0.0836,1
442760443,2296395497,460.1713,0.4602,0.092,1
