graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.25|Optimization|N2500_PS_walking_distance_W025_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.25,Optimization,N2500_PS_walking_distance_W025_I1,N2500_PS_walking_distance_W025_I1.dat,0.25,0.25,Optimization (Optimum),0.900000,17.677020,2.102520,11.790000,1.196113,1.017445,0.121016,0.057653,1.196113
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.50|Optimization|N2500_PS_walking_distance_W050_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.50,Optimization,N2500_PS_walking_distance_W050_I1,N2500_PS_walking_distance_W050_I1.dat,0.50,0.50,Optimization (Optimum),0.900000,17.228220,4.453500,10.340000,1.114081,0.840737,0.217331,0.056013,1.114081
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.75|Optimization|N2500_PS_walking_distance_W075_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.75,Optimization,N2500_PS_walking_distance_W075_I1,N2500_PS_walking_distance_W075_I1.dat,0.75,0.75,Optimization (Optimum),0.900000,17.247420,4.590600,8.950000,0.983682,0.733132,0.195132,0.055418,0.983682
N2500|maximum_walking_distance|parameter_sensitivity|2500|1.00|Optimization|N2500_PS_walking_distance_W100_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,1.00,Optimization,N2500_PS_walking_distance_W100_I1,N2500_PS_walking_distance_W100_I1.dat,1.00,1.00,Optimization (Optimum),0.900000,17.406000,4.581540,7.380000,0.883232,0.655756,0.172606,0.054870,0.883232
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.25|ACO|N2500_PS_walking_distance_W025_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.25,ACO,N2500_PS_walking_distance_W025_I1,N2500_PS_walking_distance_W025_I1.dat,0.25,0.25,ACO,0.900000,12.753660,1.733160,11.670000,0.890891,0.734069,0.099756,0.057066,0.890891
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.50|ACO|N2500_PS_walking_distance_W050_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.50,ACO,N2500_PS_walking_distance_W050_I1,N2500_PS_walking_distance_W050_I1.dat,0.50,0.50,ACO,0.900000,12.555000,3.962340,10.230000,0.861463,0.612684,0.193362,0.055417,0.861463
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.75|ACO|N2500_PS_walking_distance_W075_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.75,ACO,N2500_PS_walking_distance_W075_I1,N2500_PS_walking_distance_W075_I1.dat,0.75,0.75,ACO,0.900000,12.558000,5.163960,8.910000,0.808473,0.533800,0.219503,0.055170,0.808473
N2500|maximum_walking_distance|parameter_sensitivity|2500|1.00|ACO|N2500_PS_walking_distance_W100_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,1.00,ACO,N2500_PS_walking_distance_W100_I1,N2500_PS_walking_distance_W100_I1.dat,1.00,1.00,ACO,0.900000,12.122760,9.541080,6.960000,0.867914,0.456715,0.359452,0.051747,0.867914
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.25|PSO|N2500_PS_walking_distance_W025_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.25,PSO,N2500_PS_walking_distance_W025_I1,N2500_PS_walking_distance_W025_I1.dat,0.25,0.25,PSO,0.900000,17.677020,2.102520,11.790000,1.196113,1.017445,0.121016,0.057653,1.196113
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.50|PSO|N2500_PS_walking_distance_W050_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.50,PSO,N2500_PS_walking_distance_W050_I1,N2500_PS_walking_distance_W050_I1.dat,0.50,0.50,PSO,0.900000,17.228220,4.453500,10.340000,1.114081,0.840737,0.217331,0.056013,1.114081
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.75|PSO|N2500_PS_walking_distance_W075_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.75,PSO,N2500_PS_walking_distance_W075_I1,N2500_PS_walking_distance_W075_I1.dat,0.75,0.75,PSO,0.900000,17.247420,4.590600,8.950000,0.983682,0.733132,0.195132,0.055418,0.983682
N2500|maximum_walking_distance|parameter_sensitivity|2500|1.00|PSO|N2500_PS_walking_distance_W100_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,1.00,PSO,N2500_PS_walking_distance_W100_I1,N2500_PS_walking_distance_W100_I1.dat,1.00,1.00,PSO,0.900000,17.406000,4.581540,7.380000,0.883232,0.655756,0.172606,0.054870,0.883232
N2500|maximum_walking_distance|parameter_sensitivity|2500|0.25|GA|N2500_PS_walking_distance_W025_I1,medium_large,maximum_walking_distance,parameter_sensitivity,2500,0.25,GA,N2500_PS_walking_distance_W025_I1,N2500_PS_walking_distance_W025_I1.dat,0.25,0.25,GA,0.900000,19.757940,2.965980,13.350000,1.373213,1.137217,0.170714,0.065281,1.373213
