graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|parking_spot_availability|parameter_sensitivity|2500|10%|Optimization|N2500_PS_spot_availability_A10_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,10%,Optimization,N2500_PS_spot_availability_A10_I1,N2500_PS_spot_availability_A10_I1.dat,10%,10%,Optimization (Optimum),0.900000,18.510960,3.988140,8.400000,1.114898,0.883230,0.190290,0.041379,1.114898
N2500|parking_spot_availability|parameter_sensitivity|2500|20%|Optimization|N2500_PS_spot_availability_A20_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,20%,Optimization,N2500_PS_spot_availability_A20_I1,N2500_PS_spot_availability_A20_I1.dat,20%,20%,Optimization (Optimum),0.900000,18.430140,3.797040,8.190000,1.097029,0.876499,0.180579,0.039951,1.097029
N2500|parking_spot_availability|parameter_sensitivity|2500|30%|Optimization|N2500_PS_spot_availability_A30_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,30%,Optimization,N2500_PS_spot_availability_A30_I1,N2500_PS_spot_availability_A30_I1.dat,30%,30%,Optimization (Optimum),0.900000,18.347340,3.603960,8.020000,1.083080,0.872561,0.171397,0.039122,1.083080
N2500|parking_spot_availability|parameter_sensitivity|2500|40%|Optimization|N2500_PS_spot_availability_A40_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,40%,Optimization,N2500_PS_spot_availability_A40_I1,N2500_PS_spot_availability_A40_I1.dat,40%,40%,Optimization (Optimum),0.900000,12.901140,2.962200,10.630000,0.806281,0.613551,0.140876,0.051854,0.806281
N2500|parking_spot_availability|parameter_sensitivity|2500|10%|ACO|N2500_PS_spot_availability_A10_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,10%,ACO,N2500_PS_spot_availability_A10_I1,N2500_PS_spot_availability_A10_I1.dat,10%,10%,ACO,0.900000,13.119660,3.468420,11.320000,0.847245,0.625990,0.165492,0.055764,0.847245
N2500|parking_spot_availability|parameter_sensitivity|2500|20%|ACO|N2500_PS_spot_availability_A20_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,20%,ACO,N2500_PS_spot_availability_A20_I1,N2500_PS_spot_availability_A20_I1.dat,20%,20%,ACO,0.900000,13.055820,3.322320,11.120000,0.833154,0.620907,0.158003,0.054244,0.833154
N2500|parking_spot_availability|parameter_sensitivity|2500|30%|ACO|N2500_PS_spot_availability_A30_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,30%,ACO,N2500_PS_spot_availability_A30_I1,N2500_PS_spot_availability_A30_I1.dat,30%,30%,ACO,0.900000,12.959700,3.102960,10.850000,0.816833,0.616336,0.147570,0.052927,0.816833
N2500|parking_spot_availability|parameter_sensitivity|2500|40%|ACO|N2500_PS_spot_availability_A40_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,40%,ACO,N2500_PS_spot_availability_A40_I1,N2500_PS_spot_availability_A40_I1.dat,40%,40%,ACO,0.900000,12.901140,2.962200,10.630000,0.806281,0.613551,0.140876,0.051854,0.806281
N2500|parking_spot_availability|parameter_sensitivity|2500|10%|PSO|N2500_PS_spot_availability_A10_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,10%,PSO,N2500_PS_spot_availability_A10_I1,N2500_PS_spot_availability_A10_I1.dat,10%,10%,PSO,0.900000,18.261660,3.468420,11.320000,1.092590,0.871334,0.165492,0.055764,1.092590
N2500|parking_spot_availability|parameter_sensitivity|2500|20%|PSO|N2500_PS_spot_availability_A20_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,20%,PSO,N2500_PS_spot_availability_A20_I1,N2500_PS_spot_availability_A20_I1.dat,20%,20%,PSO,0.900000,17.813820,3.322320,11.120000,1.059434,0.847188,0.158003,0.054244,1.059434
N2500|parking_spot_availability|parameter_sensitivity|2500|30%|PSO|N2500_PS_spot_availability_A30_I1,medium_large,parking_spot_availability,parameter_sensitivity,2500,30%,PSO,N2500_PS_spot_availability_A30_I1,N2500_PS_spot_availability_A30_I1.dat,30%,30%,PSO,0.900000,17.021040,2.974920,18.040000,1.038966,0.809485,0.141481,0.088000,1.038966
