x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10,ACO,0.900000,12.300000,1.825260,9.660000,0.184500,0.027379,0.966000,1.177879,1.177879
10-20,10,PSO,0.900000,17.382000,3.497340,8.100000,0.260730,0.052460,0.810000,1.123190,1.123190
10-20,10,GA,0.900000,19.116000,2.877840,12.600000,0.286740,0.043168,1.260000,1.589908,1.589908
20-40,20,ACO,0.900000,12.276000,2.182200,6.670000,0.184140,0.032733,0.667000,0.883873,0.883873
20-40,20,PSO,0.900000,18.888000,1.797960,9.150000,0.283320,0.026969,0.915000,1.225289,1.225289
20-40,20,GA,0.900000,17.658000,2.282160,6.770000,0.264870,0.034232,0.677000,0.976102,0.976102
40-60,40,ACO,0.900000,12.456000,1.767240,8.690000,0.186840,0.026509,0.869000,1.082349,1.082349
40-60,40,PSO,0.900000,17.826000,2.155980,6.200000,0.267390,0.032340,0.620000,0.919730,0.919730
40-60,40,GA,0.900000,17.874000,1.767240,8.690000,0.268110,0.026509,0.869000,1.163619,1.163619
60-80,60,ACO,0.900000,12.300000,1.783380,8.270000,0.184500,0.026751,0.827000,1.038251,1.038251
60-80,60,PSO,0.900000,16.950000,3.402120,6.650000,0.254250,0.051032,0.665000,0.970282,0.970282
60-80,60,GA,0.900000,23.538000,1.646640,19.890000,0.353070,0.024700,1.989000,2.366770,2.366770
