graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|traffic_level|parameter_sensitivity|2500|very_low|Optimization|N2500_PS_traffic_very_low_I1,medium_large,traffic_level,parameter_sensitivity,2500,very_low,Optimization,N2500_PS_traffic_very_low_I1,N2500_PS_traffic_very_low_I1.dat,very_low,very low,Optimization (Optimum),0.900000,14.444820,1.796460,9.130000,0.979037,0.831057,0.103356,0.044624,0.979037
N2500|traffic_level|parameter_sensitivity|2500|low|Optimization|N2500_PS_traffic_low_I1,medium_large,traffic_level,parameter_sensitivity,2500,low,Optimization,N2500_PS_traffic_low_I1,N2500_PS_traffic_low_I1.dat,low,low,Optimization (Optimum),0.900000,17.288820,1.796460,9.130000,1.039965,0.901652,0.093690,0.044624,1.039965
N2500|traffic_level|parameter_sensitivity|2500|medium|Optimization|N2500_PS_traffic_medium_I1,medium_large,traffic_level,parameter_sensitivity,2500,medium,Optimization,N2500_PS_traffic_medium_I1,N2500_PS_traffic_medium_I1.dat,medium,medium,Optimization (Optimum),0.900000,23.295840,5.846040,6.750000,1.164513,0.904531,0.226990,0.032991,1.164513
N2500|traffic_level|parameter_sensitivity|2500|high|Optimization|N2500_PS_traffic_high_I1,medium_large,traffic_level,parameter_sensitivity,2500,high,Optimization,N2500_PS_traffic_high_I1,N2500_PS_traffic_high_I1.dat,high,high,Optimization (Optimum),0.900000,71.133180,2.180700,6.650000,1.575695,1.497291,0.045902,0.032502,1.575695
N2500|traffic_level|parameter_sensitivity|2500|very_low|ACO|N2500_PS_traffic_very_low_I1,medium_large,traffic_level,parameter_sensitivity,2500,very_low,ACO,N2500_PS_traffic_very_low_I1,N2500_PS_traffic_very_low_I1.dat,very_low,very low,ACO,0.900000,9.879180,2.180700,6.650000,0.726346,0.568381,0.125463,0.032502,0.726346
N2500|traffic_level|parameter_sensitivity|2500|low|ACO|N2500_PS_traffic_low_I1,medium_large,traffic_level,parameter_sensitivity,2500,low,ACO,N2500_PS_traffic_low_I1,N2500_PS_traffic_low_I1.dat,low,low,ACO,0.900000,11.553180,2.180700,6.650000,0.748756,0.602525,0.113729,0.032502,0.748756
N2500|traffic_level|parameter_sensitivity|2500|medium|ACO|N2500_PS_traffic_medium_I1,medium_large,traffic_level,parameter_sensitivity,2500,medium,ACO,N2500_PS_traffic_medium_I1,N2500_PS_traffic_medium_I1.dat,medium,medium,ACO,0.900000,17.487180,2.180700,6.650000,0.796167,0.678992,0.084672,0.032502,0.796167
N2500|traffic_level|parameter_sensitivity|2500|high|ACO|N2500_PS_traffic_high_I1,medium_large,traffic_level,parameter_sensitivity,2500,high,ACO,N2500_PS_traffic_high_I1,N2500_PS_traffic_high_I1.dat,high,high,ACO,0.900000,37.569180,2.180700,6.650000,0.869202,0.790798,0.045902,0.032502,0.869202
N2500|traffic_level|parameter_sensitivity|2500|very_low|PSO|N2500_PS_traffic_very_low_I1,medium_large,traffic_level,parameter_sensitivity,2500,very_low,PSO,N2500_PS_traffic_very_low_I1,N2500_PS_traffic_very_low_I1.dat,very_low,very low,PSO,0.900000,14.444820,1.796460,9.130000,0.979037,0.831057,0.103356,0.044624,0.979037
N2500|traffic_level|parameter_sensitivity|2500|low|PSO|N2500_PS_traffic_low_I1,medium_large,traffic_level,parameter_sensitivity,2500,low,PSO,N2500_PS_traffic_low_I1,N2500_PS_traffic_low_I1.dat,low,low,PSO,0.900000,17.288820,1.796460,9.130000,1.039965,0.901652,0.093690,0.044624,1.039965
