graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|maximum_walking_distance|parameter_sensitivity|40|0.25|Optimization|N40_PS_walking_distance_W025_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.25,Optimization,N40_PS_walking_distance_W025_I1,N40_PS_walking_distance_W025_I1.dat,0.25,0.25,Optimization (Optimum),0.900000,2.071680,1.551180,20.280000,0.803585,0.402810,0.301606,0.099169,0.803585
N40|maximum_walking_distance|parameter_sensitivity|40|0.50|Optimization|N40_PS_walking_distance_W050_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.50,Optimization,N40_PS_walking_distance_W050_I1,N40_PS_walking_distance_W050_I1.dat,0.50,0.50,Optimization (Optimum),0.900000,2.011260,2.101560,18.360000,0.783365,0.334207,0.349212,0.099946,0.783365
N40|maximum_walking_distance|parameter_sensitivity|40|0.75|Optimization|N40_PS_walking_distance_W075_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.75,Optimization,N40_PS_walking_distance_W075_I1,N40_PS_walking_distance_W075_I1.dat,0.75,0.75,Optimization (Optimum),0.900000,1.932780,2.837460,15.840000,0.807352,0.286601,0.420751,0.100000,0.807352
N40|maximum_walking_distance|parameter_sensitivity|40|1.00|Optimization|N40_PS_walking_distance_W100_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,1.00,Optimization,N40_PS_walking_distance_W100_I1,N40_PS_walking_distance_W100_I1.dat,1.00,1.00,Optimization (Optimum),0.900000,1.844880,3.665700,12.990000,0.807311,0.237457,0.471817,0.098038,0.807311
N40|maximum_walking_distance|parameter_sensitivity|40|0.25|ACO|N40_PS_walking_distance_W025_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.25,ACO,N40_PS_walking_distance_W025_I1,N40_PS_walking_distance_W025_I1.dat,0.25,0.25,ACO,0.900000,2.071680,1.551180,20.280000,0.803585,0.402810,0.301606,0.099169,0.803585
N40|maximum_walking_distance|parameter_sensitivity|40|0.50|ACO|N40_PS_walking_distance_W050_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.50,ACO,N40_PS_walking_distance_W050_I1,N40_PS_walking_distance_W050_I1.dat,0.50,0.50,ACO,0.900000,2.011260,2.101560,18.360000,0.783365,0.334207,0.349212,0.099946,0.783365
N40|maximum_walking_distance|parameter_sensitivity|40|0.75|ACO|N40_PS_walking_distance_W075_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.75,ACO,N40_PS_walking_distance_W075_I1,N40_PS_walking_distance_W075_I1.dat,0.75,0.75,ACO,0.900000,1.932780,2.837460,15.840000,0.807352,0.286601,0.420751,0.100000,0.807352
N40|maximum_walking_distance|parameter_sensitivity|40|1.00|ACO|N40_PS_walking_distance_W100_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,1.00,ACO,N40_PS_walking_distance_W100_I1,N40_PS_walking_distance_W100_I1.dat,1.00,1.00,ACO,0.900000,1.844880,3.665700,12.990000,0.807311,0.237457,0.471817,0.098038,0.807311
N40|maximum_walking_distance|parameter_sensitivity|40|0.25|PSO|N40_PS_walking_distance_W025_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.25,PSO,N40_PS_walking_distance_W025_I1,N40_PS_walking_distance_W025_I1.dat,0.25,0.25,PSO,0.900000,2.167680,1.551180,20.280000,0.822251,0.421476,0.301606,0.099169,0.822251
N40|maximum_walking_distance|parameter_sensitivity|40|0.50|PSO|N40_PS_walking_distance_W050_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.50,PSO,N40_PS_walking_distance_W050_I1,N40_PS_walking_distance_W050_I1.dat,0.50,0.50,PSO,0.900000,2.107260,2.101560,18.360000,0.799317,0.350160,0.349212,0.099946,0.799317
N40|maximum_walking_distance|parameter_sensitivity|40|0.75|PSO|N40_PS_walking_distance_W075_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.75,PSO,N40_PS_walking_distance_W075_I1,N40_PS_walking_distance_W075_I1.dat,0.75,0.75,PSO,0.900000,2.028780,2.837460,15.840000,0.821587,0.300836,0.420751,0.100000,0.821587
N40|maximum_walking_distance|parameter_sensitivity|40|1.00|PSO|N40_PS_walking_distance_W100_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,1.00,PSO,N40_PS_walking_distance_W100_I1,N40_PS_walking_distance_W100_I1.dat,1.00,1.00,PSO,0.900000,1.940880,3.665700,12.990000,0.819667,0.249813,0.471817,0.098038,0.819667
N40|maximum_walking_distance|parameter_sensitivity|40|0.25|GA|N40_PS_walking_distance_W025_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.25,GA,N40_PS_walking_distance_W025_I1,N40_PS_walking_distance_W025_I1.dat,0.25,0.25,GA,0.900000,2.071680,1.551180,20.280000,0.803585,0.402810,0.301606,0.099169,0.803585
N40|maximum_walking_distance|parameter_sensitivity|40|0.50|GA|N40_PS_walking_distance_W050_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.50,GA,N40_PS_walking_distance_W050_I1,N40_PS_walking_distance_W050_I1.dat,0.50,0.50,GA,0.900000,2.101260,2.101560,18.360000,0.798320,0.349163,0.349212,0.099946,0.798320
N40|maximum_walking_distance|parameter_sensitivity|40|0.75|GA|N40_PS_walking_distance_W075_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,0.75,GA,N40_PS_walking_distance_W075_I1,N40_PS_walking_distance_W075_I1.dat,0.75,0.75,GA,0.900000,1.932780,2.837460,15.840000,0.807352,0.286601,0.420751,0.100000,0.807352
N40|maximum_walking_distance|parameter_sensitivity|40|1.00|GA|N40_PS_walking_distance_W100_I1,small_scale,maximum_walking_distance,parameter_sensitivity,40,1.00,GA,N40_PS_walking_distance_W100_I1,N40_PS_walking_distance_W100_I1.dat,1.00,1.00,GA,0.900000,1.844880,3.665700,12.990000,0.807311,0.237457,0.471817,0.098038,0.807311
