graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,case,nodes,method,runtime_s
N10|runtime|final_case|10|10|Optimization|N10_C1_I1,small_scale,runtime,final_case,10,10,Optimization,N10_C1_I1,N10_C1_I1.dat,N10_C1_I1,10,Optimization,0.000157
N10|runtime|final_case|10|10|ACO|N10_C1_I1,small_scale,runtime,final_case,10,10,ACO,N10_C1_I1,N10_C1_I1.dat,N10_C1_I1,10,ACO,0.937864
N10|runtime|final_case|10|10|PSO|N10_C1_I1,small_scale,runtime,final_case,10,10,PSO,N10_C1_I1,N10_C1_I1.dat,N10_C1_I1,10,PSO,0.900610
N10|runtime|final_case|10|10|GA|N10_C1_I1,small_scale,runtime,final_case,10,10,GA,N10_C1_I1,N10_C1_I1.dat,N10_C1_I1,10,GA,1.034847
N20|runtime|final_case|20|20|Optimization|N20_C1_I1,small_scale,runtime,final_case,20,20,Optimization,N20_C1_I1,N20_C1_I1.dat,N20_C1_I1,20,Optimization,0.000458
N20|runtime|final_case|20|20|ACO|N20_C1_I1,small_scale,runtime,final_case,20,20,ACO,N20_C1_I1,N20_C1_I1.dat,N20_C1_I1,20,ACO,0.043836
N20|runtime|final_case|20|20|PSO|N20_C1_I1,small_scale,runtime,final_case,20,20,PSO,N20_C1_I1,N20_C1_I1.dat,N20_C1_I1,20,PSO,1.921771
N20|runtime|final_case|20|20|GA|N20_C1_I1,small_scale,runtime,final_case,20,20,GA,N20_C1_I1,N20_C1_I1.dat,N20_C1_I1,20,GA,1.169986
N30|runtime|final_case|30|30|Optimization|N30_C1_I1,small_scale,runtime,final_case,30,30,Optimization,N30_C1_I1,N30_C1_I1.dat,N30_C1_I1,30,Optimization,0.000815
N30|runtime|final_case|30|30|ACO|N30_C1_I1,small_scale,runtime,final_case,30,30,ACO,N30_C1_I1,N30_C1_I1.dat,N30_C1_I1,30,ACO,0.064940
N30|runtime|final_case|30|30|PSO|N30_C1_I1,small_scale,runtime,final_case,30,30,PSO,N30_C1_I1,N30_C1_I1.dat,N30_C1_I1,30,PSO,0.598495
N30|runtime|final_case|30|30|GA|N30_C1_I1,small_scale,runtime,final_case,30,30,GA,N30_C1_I1,N30_C1_I1.dat,N30_C1_I1,30,GA,2.738757
N40|runtime|final_case|40|40|Optimization|N40_C1_I1,small_scale,runtime,final_case,40,40,Optimization,N40_C1_I1,N40_C1_I1.dat,N40_C1_I1,40,Optimization,0.000804
N40|runtime|final_case|40|40|ACO|N40_C1_I1,small_scale,runtime,final_case,40,40,ACO,N40_C1_I1,N40_C1_I1.dat,N40_C1_I1,40,ACO,0.096104
N40|runtime|final_case|40|40|PSO|N40_C1_I1,small_scale,runtime,final_case,40,40,PSO,N40_C1_I1,N40_C1_I1.dat,N40_C1_I1,40,PSO,0.803853
N40|runtime|final_case|40|40|GA|N40_C1_I1,small_scale,runtime,final_case,40,40,GA,N40_C1_I1,N40_C1_I1.dat,N40_C1_I1,40,GA,2.775435
