graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|parking_budget_cmax|parameter_sensitivity|40|10.0|Optimization|N40_PS_parking_budget_Cmax100_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,10.0,Optimization,N40_PS_parking_budget_Cmax100_I1,N40_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,Optimization (Optimum),0.900000,2.011320,3.635340,6.840000,0.833472,0.261260,0.472212,0.100000,0.833472
N40|parking_budget_cmax|parameter_sensitivity|40|15.0|Optimization|N40_PS_parking_budget_Cmax150_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,15.0,Optimization,N40_PS_parking_budget_Cmax150_I1,N40_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,Optimization (Optimum),0.900000,1.909320,2.944740,9.870000,0.701914,0.250195,0.385875,0.065844,0.701914
N40|parking_budget_cmax|parameter_sensitivity|40|20.5|Optimization|N40_PS_parking_budget_Cmax205_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,20.5,Optimization,N40_PS_parking_budget_Cmax205_I1,N40_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,Optimization (Optimum),0.900000,1.797000,2.170200,18.700000,0.739968,0.290551,0.350893,0.098525,0.739968
N40|parking_budget_cmax|parameter_sensitivity|40|25.0|Optimization|N40_PS_parking_budget_Cmax250_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,25.0,Optimization,N40_PS_parking_budget_Cmax250_I1,N40_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,Optimization (Optimum),0.900000,1.704060,1.562220,19.790000,0.717067,0.322454,0.295614,0.098999,0.717067
N40|parking_budget_cmax|parameter_sensitivity|40|10.0|ACO|N40_PS_parking_budget_Cmax100_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,10.0,ACO,N40_PS_parking_budget_Cmax100_I1,N40_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,ACO,0.900000,2.011320,3.635340,6.840000,0.833472,0.261260,0.472212,0.100000,0.833472
N40|parking_budget_cmax|parameter_sensitivity|40|15.0|ACO|N40_PS_parking_budget_Cmax150_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,15.0,ACO,N40_PS_parking_budget_Cmax150_I1,N40_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,ACO,0.900000,1.909320,2.944740,9.870000,0.701914,0.250195,0.385875,0.065844,0.701914
N40|parking_budget_cmax|parameter_sensitivity|40|20.5|ACO|N40_PS_parking_budget_Cmax205_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,20.5,ACO,N40_PS_parking_budget_Cmax205_I1,N40_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,ACO,0.900000,1.797000,2.170200,18.700000,0.739968,0.290551,0.350893,0.098525,0.739968
N40|parking_budget_cmax|parameter_sensitivity|40|25.0|ACO|N40_PS_parking_budget_Cmax250_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,25.0,ACO,N40_PS_parking_budget_Cmax250_I1,N40_PS_parking_budget_Cmax250_I1.dat,25.0,25.0,ACO,0.900000,1.704060,1.562220,19.790000,0.717067,0.322454,0.295614,0.098999,0.717067
N40|parking_budget_cmax|parameter_sensitivity|40|10.0|PSO|N40_PS_parking_budget_Cmax100_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,10.0,PSO,N40_PS_parking_budget_Cmax100_I1,N40_PS_parking_budget_Cmax100_I1.dat,10.0,10.0,PSO,0.900000,2.107320,3.635340,6.840000,0.845942,0.273730,0.472212,0.100000,0.845942
N40|parking_budget_cmax|parameter_sensitivity|40|15.0|PSO|N40_PS_parking_budget_Cmax150_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,15.0,PSO,N40_PS_parking_budget_Cmax150_I1,N40_PS_parking_budget_Cmax150_I1.dat,15.0,15.0,PSO,0.900000,2.005320,2.944740,9.870000,0.714493,0.262775,0.385875,0.065844,0.714493
N40|parking_budget_cmax|parameter_sensitivity|40|20.5|PSO|N40_PS_parking_budget_Cmax205_I1,small_scale,parking_budget_cmax,parameter_sensitivity,40,20.5,PSO,N40_PS_parking_budget_Cmax205_I1,N40_PS_parking_budget_Cmax205_I1.dat,20.5,20.5,PSO,0.900000,1.893000,2.170200,18.700000,0.755490,0.306073,0.350893,0.098525,0.755490
