graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|parking_cost_range|parameter_sensitivity|40|8.0-20.5|Optimization|N40_PS_parking_cost_80_205_I1,small_scale,parking_cost_range,parameter_sensitivity,40,8.0-20.5,Optimization,N40_PS_parking_cost_80_205_I1,N40_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,Optimization (Optimum),0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N40|parking_cost_range|parameter_sensitivity|40|10.0-22.5|Optimization|N40_PS_parking_cost_100_225_I1,small_scale,parking_cost_range,parameter_sensitivity,40,10.0-22.5,Optimization,N40_PS_parking_cost_100_225_I1,N40_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,Optimization (Optimum),0.900000,1.709400,1.607280,9.540000,0.878720,0.405244,0.381035,0.092442,0.878720
N40|parking_cost_range|parameter_sensitivity|40|12.5-25.0|Optimization|N40_PS_parking_cost_125_250_I1,small_scale,parking_cost_range,parameter_sensitivity,40,12.5-25.0,Optimization,N40_PS_parking_cost_125_250_I1,N40_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,Optimization (Optimum),0.900000,1.709400,1.607280,15.390000,0.877668,0.405244,0.381035,0.091390,0.877668
N40|parking_cost_range|parameter_sensitivity|40|15.0-30.0|Optimization|N40_PS_parking_cost_150_300_I1,small_scale,parking_cost_range,parameter_sensitivity,40,15.0-30.0,Optimization,N40_PS_parking_cost_150_300_I1,N40_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,Optimization (Optimum),0.900000,1.709400,1.607280,17.970000,0.884636,0.405244,0.381035,0.098358,0.884636
N40|parking_cost_range|parameter_sensitivity|40|8.0-20.5|ACO|N40_PS_parking_cost_80_205_I1,small_scale,parking_cost_range,parameter_sensitivity,40,8.0-20.5,ACO,N40_PS_parking_cost_80_205_I1,N40_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,ACO,0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N40|parking_cost_range|parameter_sensitivity|40|10.0-22.5|ACO|N40_PS_parking_cost_100_225_I1,small_scale,parking_cost_range,parameter_sensitivity,40,10.0-22.5,ACO,N40_PS_parking_cost_100_225_I1,N40_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,ACO,0.900000,1.709400,1.607280,9.540000,0.878720,0.405244,0.381035,0.092442,0.878720
N40|parking_cost_range|parameter_sensitivity|40|12.5-25.0|ACO|N40_PS_parking_cost_125_250_I1,small_scale,parking_cost_range,parameter_sensitivity,40,12.5-25.0,ACO,N40_PS_parking_cost_125_250_I1,N40_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,ACO,0.900000,1.709400,1.607280,15.390000,0.877668,0.405244,0.381035,0.091390,0.877668
N40|parking_cost_range|parameter_sensitivity|40|15.0-30.0|ACO|N40_PS_parking_cost_150_300_I1,small_scale,parking_cost_range,parameter_sensitivity,40,15.0-30.0,ACO,N40_PS_parking_cost_150_300_I1,N40_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,ACO,0.900000,1.709400,1.607280,17.970000,0.884636,0.405244,0.381035,0.098358,0.884636
N40|parking_cost_range|parameter_sensitivity|40|8.0-20.5|PSO|N40_PS_parking_cost_80_205_I1,small_scale,parking_cost_range,parameter_sensitivity,40,8.0-20.5,PSO,N40_PS_parking_cost_80_205_I1,N40_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,PSO,0.900000,1.757400,1.607280,19.670000,0.895763,0.416623,0.381035,0.098105,0.895763
N40|parking_cost_range|parameter_sensitivity|40|10.0-22.5|PSO|N40_PS_parking_cost_100_225_I1,small_scale,parking_cost_range,parameter_sensitivity,40,10.0-22.5,PSO,N40_PS_parking_cost_100_225_I1,N40_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,PSO,0.900000,1.757400,1.607280,9.540000,0.890100,0.416623,0.381035,0.092442,0.890100
N40|parking_cost_range|parameter_sensitivity|40|12.5-25.0|PSO|N40_PS_parking_cost_125_250_I1,small_scale,parking_cost_range,parameter_sensitivity,40,12.5-25.0,PSO,N40_PS_parking_cost_125_250_I1,N40_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,PSO,0.900000,1.757400,1.607280,15.390000,0.889047,0.416623,0.381035,0.091390,0.889047
N40|parking_cost_range|parameter_sensitivity|40|15.0-30.0|PSO|N40_PS_parking_cost_150_300_I1,small_scale,parking_cost_range,parameter_sensitivity,40,15.0-30.0,PSO,N40_PS_parking_cost_150_300_I1,N40_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,PSO,0.900000,1.883400,1.607280,17.970000,0.925886,0.446494,0.381035,0.098358,0.925886
N40|parking_cost_range|parameter_sensitivity|40|8.0-20.5|GA|N40_PS_parking_cost_80_205_I1,small_scale,parking_cost_range,parameter_sensitivity,40,8.0-20.5,GA,N40_PS_parking_cost_80_205_I1,N40_PS_parking_cost_80_205_I1.dat,8.0-20.5,8.0,GA,0.900000,1.709400,1.607280,19.670000,0.884383,0.405244,0.381035,0.098105,0.884383
N40|parking_cost_range|parameter_sensitivity|40|10.0-22.5|GA|N40_PS_parking_cost_100_225_I1,small_scale,parking_cost_range,parameter_sensitivity,40,10.0-22.5,GA,N40_PS_parking_cost_100_225_I1,N40_PS_parking_cost_100_225_I1.dat,10.0-22.5,10.0,GA,0.900000,1.709400,1.607280,9.540000,0.878720,0.405244,0.381035,0.092442,0.878720
N40|parking_cost_range|parameter_sensitivity|40|12.5-25.0|GA|N40_PS_parking_cost_125_250_I1,small_scale,parking_cost_range,parameter_sensitivity,40,12.5-25.0,GA,N40_PS_parking_cost_125_250_I1,N40_PS_parking_cost_125_250_I1.dat,12.5-25.0,12.5,GA,0.900000,1.709400,1.607280,15.390000,0.877668,0.405244,0.381035,0.091390,0.877668
N40|parking_cost_range|parameter_sensitivity|40|15.0-30.0|GA|N40_PS_parking_cost_150_300_I1,small_scale,parking_cost_range,parameter_sensitivity,40,15.0-30.0,GA,N40_PS_parking_cost_150_300_I1,N40_PS_parking_cost_150_300_I1.dat,15.0-30.0,15.0,GA,0.900000,1.709400,1.607280,17.970000,0.884636,0.405244,0.381035,0.098358,0.884636
