graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|parking_spot_availability|parameter_sensitivity|40|10%|Optimization|N40_PS_spot_availability_A10_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,10%,Optimization,N40_PS_spot_availability_A10_I1,N40_PS_spot_availability_A10_I1.dat,10%,10%,Optimization (Optimum),0.900000,1.709400,1.607280,19.670000,0.910553,0.418273,0.393286,0.098993,0.910553
N40|parking_spot_availability|parameter_sensitivity|40|20%|Optimization|N40_PS_spot_availability_A20_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,20%,Optimization,N40_PS_spot_availability_A20_I1,N40_PS_spot_availability_A20_I1.dat,20%,20%,Optimization (Optimum),0.900000,1.817640,1.849380,20.190000,0.917321,0.405753,0.412839,0.098729,0.917321
N40|parking_spot_availability|parameter_sensitivity|40|30%|Optimization|N40_PS_spot_availability_A30_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,30%,Optimization,N40_PS_spot_availability_A30_I1,N40_PS_spot_availability_A30_I1.dat,30%,30%,Optimization (Optimum),0.900000,1.733460,1.658100,19.750000,0.853678,0.386962,0.370139,0.096577,0.853678
N40|parking_spot_availability|parameter_sensitivity|40|40%|Optimization|N40_PS_spot_availability_A40_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,40%,Optimization,N40_PS_spot_availability_A40_I1,N40_PS_spot_availability_A40_I1.dat,40%,40%,Optimization (Optimum),0.900000,1.709400,1.607280,19.670000,0.836571,0.381591,0.358795,0.096186,0.836571
N40|parking_spot_availability|parameter_sensitivity|40|10%|ACO|N40_PS_spot_availability_A10_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,10%,ACO,N40_PS_spot_availability_A10_I1,N40_PS_spot_availability_A10_I1.dat,10%,10%,ACO,0.900000,1.709400,1.607280,19.670000,0.910553,0.418273,0.393286,0.098993,0.910553
N40|parking_spot_availability|parameter_sensitivity|40|20%|ACO|N40_PS_spot_availability_A20_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,20%,ACO,N40_PS_spot_availability_A20_I1,N40_PS_spot_availability_A20_I1.dat,20%,20%,ACO,0.900000,1.817640,1.849380,20.190000,0.917321,0.405753,0.412839,0.098729,0.917321
N40|parking_spot_availability|parameter_sensitivity|40|30%|ACO|N40_PS_spot_availability_A30_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,30%,ACO,N40_PS_spot_availability_A30_I1,N40_PS_spot_availability_A30_I1.dat,30%,30%,ACO,0.900000,1.733460,1.658100,19.750000,0.853678,0.386962,0.370139,0.096577,0.853678
N40|parking_spot_availability|parameter_sensitivity|40|40%|ACO|N40_PS_spot_availability_A40_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,40%,ACO,N40_PS_spot_availability_A40_I1,N40_PS_spot_availability_A40_I1.dat,40%,40%,ACO,0.900000,1.709400,1.607280,19.670000,0.836571,0.381591,0.358795,0.096186,0.836571
N40|parking_spot_availability|parameter_sensitivity|40|10%|PSO|N40_PS_spot_availability_A10_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,10%,PSO,N40_PS_spot_availability_A10_I1,N40_PS_spot_availability_A10_I1.dat,10%,10%,PSO,0.900000,1.715400,1.607280,19.670000,0.912021,0.419742,0.393286,0.098993,0.912021
N40|parking_spot_availability|parameter_sensitivity|40|20%|PSO|N40_PS_spot_availability_A20_I1,small_scale,parking_spot_availability,parameter_sensitivity,40,20%,PSO,N40_PS_spot_availability_A20_I1,N40_PS_spot_availability_A20_I1.dat,20%,20%,PSO,0.900000,1.841640,1.849380,20.190000,0.922678,0.411111,0.412839,0.098729,0.922678
