x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10,Optimization (Optimum),0.900000,1.620000,1.639800,20.150000,0.024300,0.024597,2.015000,2.063897,2.063897
10-20,10,ACO,0.900000,1.620000,1.639800,20.150000,0.024300,0.024597,2.015000,2.063897,2.063897
10-20,10,PSO,0.900000,1.632000,1.639800,20.150000,0.024480,0.024597,2.015000,2.064077,2.064077
10-20,10,GA,0.900000,1.620000,1.639800,20.150000,0.024300,0.024597,2.015000,2.063897,2.063897
20-40,20,Optimization (Optimum),0.900000,1.620000,1.608780,19.690000,0.024300,0.024132,1.969000,2.017432,2.017432
20-40,20,ACO,0.900000,1.620000,1.608780,19.690000,0.024300,0.024132,1.969000,2.017432,2.017432
20-40,20,PSO,0.900000,1.668000,1.608780,19.690000,0.025020,0.024132,1.969000,2.018152,2.018152
20-40,20,GA,0.900000,1.620000,1.608780,19.690000,0.024300,0.024132,1.969000,2.017432,2.017432
40-60,40,Optimization (Optimum),0.900000,1.620000,1.580040,19.180000,0.024300,0.023701,1.918000,1.966001,1.966001
40-60,40,ACO,0.900000,1.620000,1.580040,19.180000,0.024300,0.023701,1.918000,1.966001,1.966001
40-60,40,PSO,0.900000,1.836000,1.580040,19.180000,0.027540,0.023701,1.918000,1.969241,1.969241
40-60,40,GA,0.900000,1.620000,1.580040,19.180000,0.024300,0.023701,1.918000,1.966001,1.966001
60-80,60,Optimization (Optimum),0.900000,1.620000,1.548960,18.680000,0.024300,0.023234,1.868000,1.915534,1.915534
60-80,60,ACO,0.900000,1.620000,1.548960,18.680000,0.024300,0.023234,1.868000,1.915534,1.915534
60-80,60,PSO,0.900000,1.626000,1.548960,18.680000,0.024390,0.023234,1.868000,1.915624,1.915624
60-80,60,GA,0.900000,1.620000,1.548960,18.680000,0.024300,0.023234,1.868000,1.915534,1.915534
