graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|spots_per_lot|parameter_sensitivity|40|10-20|Optimization|N40_PS_spots_per_lot_S1020_I1,small_scale,spots_per_lot,parameter_sensitivity,40,10-20,Optimization,N40_PS_spots_per_lot_S1020_I1,N40_PS_spots_per_lot_S1020_I1.dat,10-20,10,Optimization (Optimum),0.900000,1.737720,1.639800,20.150000,0.911431,0.418257,0.394689,0.098485,0.911431
N40|spots_per_lot|parameter_sensitivity|40|20-40|Optimization|N40_PS_spots_per_lot_S2040_I1,small_scale,spots_per_lot,parameter_sensitivity,40,20-40,Optimization,N40_PS_spots_per_lot_S2040_I1,N40_PS_spots_per_lot_S2040_I1.dat,20-40,20,Optimization (Optimum),0.900000,1.710720,1.608780,19.690000,0.884358,0.405198,0.381053,0.098107,0.884358
N40|spots_per_lot|parameter_sensitivity|40|40-60|Optimization|N40_PS_spots_per_lot_S4060_I1,small_scale,spots_per_lot,parameter_sensitivity,40,40-60,Optimization,N40_PS_spots_per_lot_S4060_I1,N40_PS_spots_per_lot_S4060_I1.dat,40-60,40,Optimization (Optimum),0.900000,1.685940,1.580040,19.180000,0.868278,0.398059,0.373056,0.097163,0.868278
N40|spots_per_lot|parameter_sensitivity|40|60-80|Optimization|N40_PS_spots_per_lot_S6080_I1,small_scale,spots_per_lot,parameter_sensitivity,40,60-80,Optimization,N40_PS_spots_per_lot_S6080_I1,N40_PS_spots_per_lot_S6080_I1.dat,60-80,60,Optimization (Optimum),0.900000,1.680000,1.548960,18.680000,0.870700,0.402582,0.371180,0.096938,0.870700
N40|spots_per_lot|parameter_sensitivity|40|10-20|ACO|N40_PS_spots_per_lot_S1020_I1,small_scale,spots_per_lot,parameter_sensitivity,40,10-20,ACO,N40_PS_spots_per_lot_S1020_I1,N40_PS_spots_per_lot_S1020_I1.dat,10-20,10,ACO,0.900000,1.737720,1.639800,20.150000,0.911431,0.418257,0.394689,0.098485,0.911431
N40|spots_per_lot|parameter_sensitivity|40|20-40|ACO|N40_PS_spots_per_lot_S2040_I1,small_scale,spots_per_lot,parameter_sensitivity,40,20-40,ACO,N40_PS_spots_per_lot_S2040_I1,N40_PS_spots_per_lot_S2040_I1.dat,20-40,20,ACO,0.900000,1.710720,1.608780,19.690000,0.884358,0.405198,0.381053,0.098107,0.884358
N40|spots_per_lot|parameter_sensitivity|40|40-60|ACO|N40_PS_spots_per_lot_S4060_I1,small_scale,spots_per_lot,parameter_sensitivity,40,40-60,ACO,N40_PS_spots_per_lot_S4060_I1,N40_PS_spots_per_lot_S4060_I1.dat,40-60,40,ACO,0.900000,1.685940,1.580040,19.180000,0.868278,0.398059,0.373056,0.097163,0.868278
N40|spots_per_lot|parameter_sensitivity|40|60-80|ACO|N40_PS_spots_per_lot_S6080_I1,small_scale,spots_per_lot,parameter_sensitivity,40,60-80,ACO,N40_PS_spots_per_lot_S6080_I1,N40_PS_spots_per_lot_S6080_I1.dat,60-80,60,ACO,0.900000,1.680000,1.548960,18.680000,0.870700,0.402582,0.371180,0.096938,0.870700
N40|spots_per_lot|parameter_sensitivity|40|10-20|PSO|N40_PS_spots_per_lot_S1020_I1,small_scale,spots_per_lot,parameter_sensitivity,40,10-20,PSO,N40_PS_spots_per_lot_S1020_I1,N40_PS_spots_per_lot_S1020_I1.dat,10-20,10,PSO,0.900000,1.749720,1.639800,20.150000,0.914319,0.421146,0.394689,0.098485,0.914319
N40|spots_per_lot|parameter_sensitivity|40|20-40|PSO|N40_PS_spots_per_lot_S2040_I1,small_scale,spots_per_lot,parameter_sensitivity,40,20-40,PSO,N40_PS_spots_per_lot_S2040_I1,N40_PS_spots_per_lot_S2040_I1.dat,20-40,20,PSO,0.900000,1.758720,1.608780,19.690000,0.895727,0.416567,0.381053,0.098107,0.895727
