graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N40|traffic_level|parameter_sensitivity|40|very_low|Optimization|N40_PS_traffic_very_low_I1,small_scale,traffic_level,parameter_sensitivity,40,very_low,Optimization,N40_PS_traffic_very_low_I1,N40_PS_traffic_very_low_I1.dat,very_low,very low,Optimization (Optimum),0.900000,1.379400,1.607280,19.670000,0.872217,0.357524,0.416588,0.098105,0.872217
N40|traffic_level|parameter_sensitivity|40|low|Optimization|N40_PS_traffic_low_I1,small_scale,traffic_level,parameter_sensitivity,40,low,Optimization,N40_PS_traffic_low_I1,N40_PS_traffic_low_I1.dat,low,low,Optimization (Optimum),0.900000,1.559400,1.607280,19.670000,0.882286,0.386162,0.398019,0.098105,0.882286
N40|traffic_level|parameter_sensitivity|40|medium|Optimization|N40_PS_traffic_medium_I1,small_scale,traffic_level,parameter_sensitivity,40,medium,Optimization,N40_PS_traffic_medium_I1,N40_PS_traffic_medium_I1.dat,medium,medium,Optimization (Optimum),0.900000,2.375400,1.607280,19.670000,0.905699,0.481676,0.325919,0.098105,0.905699
N40|traffic_level|parameter_sensitivity|40|high|Optimization|N40_PS_traffic_high_I1,small_scale,traffic_level,parameter_sensitivity,40,high,Optimization,N40_PS_traffic_high_I1,N40_PS_traffic_high_I1.dat,high,high,Optimization (Optimum),0.900000,4.337400,1.607280,19.670000,0.917134,0.597586,0.221443,0.098105,0.917134
N40|traffic_level|parameter_sensitivity|40|very_low|ACO|N40_PS_traffic_very_low_I1,small_scale,traffic_level,parameter_sensitivity,40,very_low,ACO,N40_PS_traffic_very_low_I1,N40_PS_traffic_very_low_I1.dat,very_low,very low,ACO,0.900000,1.379400,1.607280,19.670000,0.872217,0.357524,0.416588,0.098105,0.872217
N40|traffic_level|parameter_sensitivity|40|low|ACO|N40_PS_traffic_low_I1,small_scale,traffic_level,parameter_sensitivity,40,low,ACO,N40_PS_traffic_low_I1,N40_PS_traffic_low_I1.dat,low,low,ACO,0.900000,1.559400,1.607280,19.670000,0.882286,0.386162,0.398019,0.098105,0.882286
N40|traffic_level|parameter_sensitivity|40|medium|ACO|N40_PS_traffic_medium_I1,small_scale,traffic_level,parameter_sensitivity,40,medium,ACO,N40_PS_traffic_medium_I1,N40_PS_traffic_medium_I1.dat,medium,medium,ACO,0.900000,2.375400,1.607280,19.670000,0.905699,0.481676,0.325919,0.098105,0.905699
N40|traffic_level|parameter_sensitivity|40|high|ACO|N40_PS_traffic_high_I1,small_scale,traffic_level,parameter_sensitivity,40,high,ACO,N40_PS_traffic_high_I1,N40_PS_traffic_high_I1.dat,high,high,ACO,0.900000,4.337400,1.607280,19.670000,0.917134,0.597586,0.221443,0.098105,0.917134
N40|traffic_level|parameter_sensitivity|40|very_low|PSO|N40_PS_traffic_very_low_I1,small_scale,traffic_level,parameter_sensitivity,40,very_low,PSO,N40_PS_traffic_very_low_I1,N40_PS_traffic_very_low_I1.dat,very_low,very low,PSO,0.900000,1.457400,1.607280,19.670000,0.892434,0.377741,0.416588,0.098105,0.892434
N40|traffic_level|parameter_sensitivity|40|low|PSO|N40_PS_traffic_low_I1,small_scale,traffic_level,parameter_sensitivity,40,low,PSO,N40_PS_traffic_low_I1,N40_PS_traffic_low_I1.dat,low,low,PSO,0.900000,1.667400,1.607280,19.670000,0.909030,0.412907,0.398019,0.098105,0.909030
N40|traffic_level|parameter_sensitivity|40|medium|PSO|N40_PS_traffic_medium_I1,small_scale,traffic_level,parameter_sensitivity,40,medium,PSO,N40_PS_traffic_medium_I1,N40_PS_traffic_medium_I1.dat,medium,medium,PSO,0.900000,2.495400,1.607280,19.670000,0.930033,0.506009,0.325919,0.098105,0.930033
N40|traffic_level|parameter_sensitivity|40|high|PSO|N40_PS_traffic_high_I1,small_scale,traffic_level,parameter_sensitivity,40,high,PSO,N40_PS_traffic_high_I1,N40_PS_traffic_high_I1.dat,high,high,PSO,0.900000,4.661400,1.607280,19.670000,0.961773,0.642225,0.221443,0.098105,0.961773
N40|traffic_level|parameter_sensitivity|40|very_low|GA|N40_PS_traffic_very_low_I1,small_scale,traffic_level,parameter_sensitivity,40,very_low,GA,N40_PS_traffic_very_low_I1,N40_PS_traffic_very_low_I1.dat,very_low,very low,GA,0.900000,1.391400,1.607280,19.670000,0.875327,0.360634,0.416588,0.098105,0.875327
N40|traffic_level|parameter_sensitivity|40|low|GA|N40_PS_traffic_low_I1,small_scale,traffic_level,parameter_sensitivity,40,low,GA,N40_PS_traffic_low_I1,N40_PS_traffic_low_I1.dat,low,low,GA,0.900000,1.559400,1.607280,19.670000,0.882286,0.386162,0.398019,0.098105,0.882286
N40|traffic_level|parameter_sensitivity|40|medium|GA|N40_PS_traffic_medium_I1,small_scale,traffic_level,parameter_sensitivity,40,medium,GA,N40_PS_traffic_medium_I1,N40_PS_traffic_medium_I1.dat,medium,medium,GA,0.900000,2.375400,1.607280,19.670000,0.905699,0.481676,0.325919,0.098105,0.905699
N40|traffic_level|parameter_sensitivity|40|high|GA|N40_PS_traffic_high_I1,small_scale,traffic_level,parameter_sensitivity,40,high,GA,N40_PS_traffic_high_I1,N40_PS_traffic_high_I1.dat,high,high,GA,0.900000,4.391400,1.607280,19.670000,0.924574,0.605026,0.221443,0.098105,0.924574
