graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|edge_density|parameter_sensitivity|2055|5093|Optimization|N2055_PS_edge_density_baseline_5385_I1,sumo,edge_density,parameter_sensitivity,2055,5093,Optimization,N2055_PS_edge_density_baseline_5385_I1,N2055_PS_edge_density_baseline_5385_I1.dat,5093,5093,Optimization (Optimum),0.900000,13.033260,0.928200,19.660000,0.868252,0.720518,0.051314,0.096420,0.868252
SUMO|edge_density|parameter_sensitivity|2055|5777|Optimization|N2055_PS_edge_density_dense_6069_I1,sumo,edge_density,parameter_sensitivity,2055,5777,Optimization,N2055_PS_edge_density_dense_6069_I1,N2055_PS_edge_density_dense_6069_I1.dat,5777,5777,Optimization (Optimum),0.900000,11.481300,5.201820,17.120000,1.045227,0.661541,0.299723,0.083963,1.045227
SUMO|edge_density|parameter_sensitivity|2055|6461|Optimization|N2055_PS_edge_density_denser_6753_I1,sumo,edge_density,parameter_sensitivity,2055,6461,Optimization,N2055_PS_edge_density_denser_6753_I1,N2055_PS_edge_density_denser_6753_I1.dat,6461,6461,Optimization (Optimum),0.900000,10.537260,0.928200,19.660000,0.766834,0.616140,0.054274,0.096420,0.766834
SUMO|edge_density|parameter_sensitivity|2055|5093|ACO|N2055_PS_edge_density_baseline_5385_I1,sumo,edge_density,parameter_sensitivity,2055,5093,ACO,N2055_PS_edge_density_baseline_5385_I1,N2055_PS_edge_density_baseline_5385_I1.dat,5093,5093,ACO,0.900000,16.525260,4.964460,7.010000,1.222396,0.913566,0.274450,0.034380,1.222396
SUMO|edge_density|parameter_sensitivity|2055|5777|ACO|N2055_PS_edge_density_dense_6069_I1,sumo,edge_density,parameter_sensitivity,2055,5777,ACO,N2055_PS_edge_density_dense_6069_I1,N2055_PS_edge_density_dense_6069_I1.dat,5777,5777,ACO,0.900000,15.661260,4.964460,7.010000,1.222812,0.902385,0.286047,0.034380,1.222812
SUMO|edge_density|parameter_sensitivity|2055|6461|ACO|N2055_PS_edge_density_denser_6753_I1,sumo,edge_density,parameter_sensitivity,2055,6461,ACO,N2055_PS_edge_density_denser_6753_I1,N2055_PS_edge_density_denser_6753_I1.dat,6461,6461,ACO,0.900000,16.783260,4.964460,7.010000,1.306022,0.981359,0.290284,0.034380,1.306022
SUMO|edge_density|parameter_sensitivity|2055|5093|PSO|N2055_PS_edge_density_baseline_5385_I1,sumo,edge_density,parameter_sensitivity,2055,5093,PSO,N2055_PS_edge_density_baseline_5385_I1,N2055_PS_edge_density_baseline_5385_I1.dat,5093,5093,PSO,0.900000,16.249260,0.928200,19.660000,1.046042,0.898308,0.051314,0.096420,1.046042
SUMO|edge_density|parameter_sensitivity|2055|5777|PSO|N2055_PS_edge_density_dense_6069_I1,sumo,edge_density,parameter_sensitivity,2055,5777,PSO,N2055_PS_edge_density_dense_6069_I1,N2055_PS_edge_density_dense_6069_I1.dat,5777,5777,PSO,0.900000,12.453720,5.276460,9.820000,1.069755,0.717570,0.304024,0.048161,1.069755
SUMO|edge_density|parameter_sensitivity|2055|6461|PSO|N2055_PS_edge_density_denser_6753_I1,sumo,edge_density,parameter_sensitivity,2055,6461,PSO,N2055_PS_edge_density_denser_6753_I1,N2055_PS_edge_density_denser_6753_I1.dat,6461,6461,PSO,0.900000,11.709720,5.276460,9.820000,1.041385,0.684696,0.308528,0.048161,1.041385
SUMO|edge_density|parameter_sensitivity|2055|5093|GA|N2055_PS_edge_density_baseline_5385_I1,sumo,edge_density,parameter_sensitivity,2055,5093,GA,N2055_PS_edge_density_baseline_5385_I1,N2055_PS_edge_density_baseline_5385_I1.dat,5093,5093,GA,0.900000,13.033260,0.928200,19.660000,0.868252,0.720518,0.051314,0.096420,0.868252
SUMO|edge_density|parameter_sensitivity|2055|5777|GA|N2055_PS_edge_density_dense_6069_I1,sumo,edge_density,parameter_sensitivity,2055,5777,GA,N2055_PS_edge_density_dense_6069_I1,N2055_PS_edge_density_dense_6069_I1.dat,5777,5777,GA,0.900000,11.481300,5.201820,17.120000,1.045227,0.661541,0.299723,0.083963,1.045227
SUMO|edge_density|parameter_sensitivity|2055|6461|GA|N2055_PS_edge_density_denser_6753_I1,sumo,edge_density,parameter_sensitivity,2055,6461,GA,N2055_PS_edge_density_denser_6753_I1,N2055_PS_edge_density_denser_6753_I1.dat,6461,6461,GA,0.900000,10.537260,0.928200,19.660000,0.766834,0.616140,0.054274,0.096420,0.766834
