graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.25|Optimization|N2055_PS_walking_distance_W025_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.25,Optimization,N2055_PS_walking_distance_W025_I1,N2055_PS_walking_distance_W025_I1.dat,0.25,0.25,Optimization (Optimum),0.900000,13.436760,0.898260,20.260000,1.044317,0.886061,0.059234,0.099022,1.044317
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.50|Optimization|N2055_PS_walking_distance_W050_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.50,Optimization,N2055_PS_walking_distance_W050_I1,N2055_PS_walking_distance_W050_I1.dat,0.50,0.50,Optimization (Optimum),0.900000,14.292180,1.469400,18.290000,0.945800,0.769409,0.079104,0.097287,0.945800
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.75|Optimization|N2055_PS_walking_distance_W075_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.75,Optimization,N2055_PS_walking_distance_W075_I1,N2055_PS_walking_distance_W075_I1.dat,0.75,0.75,Optimization (Optimum),0.900000,12.892140,3.773820,8.920000,0.832902,0.601865,0.176179,0.054859,0.832902
SUMO|maximum_walking_distance|parameter_sensitivity|2055|1.00|Optimization|N2055_PS_walking_distance_W100_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,1.00,Optimization,N2055_PS_walking_distance_W100_I1,N2055_PS_walking_distance_W100_I1.dat,1.00,1.00,Optimization (Optimum),0.900000,13.229700,4.571580,7.290000,0.782084,0.540774,0.186867,0.054444,0.782084
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.25|ACO|N2055_PS_walking_distance_W025_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.25,ACO,N2055_PS_walking_distance_W025_I1,N2055_PS_walking_distance_W025_I1.dat,0.25,0.25,ACO,0.900000,10.724400,2.469900,11.520000,0.926377,0.707200,0.162873,0.056305,0.926377
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.50|ACO|N2055_PS_walking_distance_W050_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.50,ACO,N2055_PS_walking_distance_W050_I1,N2055_PS_walking_distance_W050_I1.dat,0.50,0.50,ACO,0.900000,16.806780,5.319000,8.810000,1.237987,0.904780,0.286344,0.046862,1.237987
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.75|ACO|N2055_PS_walking_distance_W075_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.75,ACO,N2055_PS_walking_distance_W075_I1,N2055_PS_walking_distance_W075_I1.dat,0.75,0.75,ACO,0.900000,10.578180,6.033360,7.690000,0.822797,0.493838,0.281665,0.047294,0.822797
SUMO|maximum_walking_distance|parameter_sensitivity|2055|1.00|ACO|N2055_PS_walking_distance_W100_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,1.00,ACO,N2055_PS_walking_distance_W100_I1,N2055_PS_walking_distance_W100_I1.dat,1.00,1.00,ACO,0.900000,9.751860,11.560740,5.990000,0.915903,0.398614,0.472554,0.044735,0.915903
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.25|PSO|N2055_PS_walking_distance_W025_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.25,PSO,N2055_PS_walking_distance_W025_I1,N2055_PS_walking_distance_W025_I1.dat,0.25,0.25,PSO,0.900000,16.412760,0.898260,20.260000,1.240564,1.082307,0.059234,0.099022,1.240564
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.50|PSO|N2055_PS_walking_distance_W050_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.50,PSO,N2055_PS_walking_distance_W050_I1,N2055_PS_walking_distance_W050_I1.dat,0.50,0.50,PSO,0.900000,13.194120,5.674260,13.070000,1.085286,0.710296,0.305470,0.069521,1.085286
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.75|PSO|N2055_PS_walking_distance_W075_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.75,PSO,N2055_PS_walking_distance_W075_I1,N2055_PS_walking_distance_W075_I1.dat,0.75,0.75,PSO,0.900000,13.101000,6.352440,11.340000,0.977918,0.611615,0.296561,0.069742,0.977918
SUMO|maximum_walking_distance|parameter_sensitivity|2055|1.00|PSO|N2055_PS_walking_distance_W100_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,1.00,PSO,N2055_PS_walking_distance_W100_I1,N2055_PS_walking_distance_W100_I1.dat,1.00,1.00,PSO,0.900000,13.996080,3.051000,12.830000,0.792629,0.572100,0.124712,0.095818,0.792629
SUMO|maximum_walking_distance|parameter_sensitivity|2055|0.25|GA|N2055_PS_walking_distance_W025_I1,sumo,maximum_walking_distance,parameter_sensitivity,2055,0.25,GA,N2055_PS_walking_distance_W025_I1,N2055_PS_walking_distance_W025_I1.dat,0.25,0.25,GA,0.900000,13.425840,1.012920,19.860000,1.049203,0.885341,0.066795,0.097067,1.049203
