graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|parking_spot_availability|parameter_sensitivity|2055|10%|Optimization|N2055_PS_spot_availability_A10_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,10%,Optimization,N2055_PS_spot_availability_A10_I1,N2055_PS_spot_availability_A10_I1.dat,10%,10%,Optimization (Optimum),0.900000,13.033260,0.928200,19.660000,0.858237,0.711169,0.050648,0.096420,0.858237
SUMO|parking_spot_availability|parameter_sensitivity|2055|20%|Optimization|N2055_PS_spot_availability_A20_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,20%,Optimization,N2055_PS_spot_availability_A20_I1,N2055_PS_spot_availability_A20_I1.dat,20%,20%,Optimization (Optimum),0.900000,13.141980,1.151340,20.200000,0.871001,0.709753,0.062180,0.099068,0.871001
SUMO|parking_spot_availability|parameter_sensitivity|2055|30%|Optimization|N2055_PS_spot_availability_A30_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,30%,Optimization,N2055_PS_spot_availability_A30_I1,N2055_PS_spot_availability_A30_I1.dat,30%,30%,Optimization (Optimum),0.900000,13.062240,0.985800,19.800000,0.855793,0.705447,0.053240,0.097106,0.855793
SUMO|parking_spot_availability|parameter_sensitivity|2055|40%|Optimization|N2055_PS_spot_availability_A40_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,40%,Optimization,N2055_PS_spot_availability_A40_I1,N2055_PS_spot_availability_A40_I1.dat,40%,40%,Optimization (Optimum),0.900000,13.033260,0.928200,19.660000,0.850430,0.703882,0.050129,0.096420,0.850430
SUMO|parking_spot_availability|parameter_sensitivity|2055|10%|ACO|N2055_PS_spot_availability_A10_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,10%,ACO,N2055_PS_spot_availability_A10_I1,N2055_PS_spot_availability_A10_I1.dat,10%,10%,ACO,0.900000,10.606800,3.146280,9.780000,0.798411,0.578767,0.171679,0.047965,0.798411
SUMO|parking_spot_availability|parameter_sensitivity|2055|20%|ACO|N2055_PS_spot_availability_A20_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,20%,ACO,N2055_PS_spot_availability_A20_I1,N2055_PS_spot_availability_A20_I1.dat,20%,20%,ACO,0.900000,10.669980,1.151340,20.200000,0.737497,0.576249,0.062180,0.099068,0.737497
SUMO|parking_spot_availability|parameter_sensitivity|2055|30%|ACO|N2055_PS_spot_availability_A30_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,30%,ACO,N2055_PS_spot_availability_A30_I1,N2055_PS_spot_availability_A30_I1.dat,30%,30%,ACO,0.900000,10.640760,1.093500,20.070000,0.732158,0.574671,0.059056,0.098431,0.732158
SUMO|parking_spot_availability|parameter_sensitivity|2055|40%|ACO|N2055_PS_spot_availability_A40_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,40%,ACO,N2055_PS_spot_availability_A40_I1,N2055_PS_spot_availability_A40_I1.dat,40%,40%,ACO,0.900000,10.640760,1.093500,20.070000,0.732158,0.574671,0.059056,0.098431,0.732158
SUMO|parking_spot_availability|parameter_sensitivity|2055|10%|PSO|N2055_PS_spot_availability_A10_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,10%,PSO,N2055_PS_spot_availability_A10_I1,N2055_PS_spot_availability_A10_I1.dat,10%,10%,PSO,0.900000,13.291260,0.928200,19.660000,0.872315,0.725247,0.050648,0.096420,0.872315
SUMO|parking_spot_availability|parameter_sensitivity|2055|20%|PSO|N2055_PS_spot_availability_A20_I1,sumo,parking_spot_availability,parameter_sensitivity,2055,20%,PSO,N2055_PS_spot_availability_A20_I1,N2055_PS_spot_availability_A20_I1.dat,20%,20%,PSO,0.900000,13.046100,5.600940,12.780000,1.069740,0.704575,0.302488,0.062678,1.069740
