x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10-20,10,ACO,0.900000,10.476000,0.962460,20.180000,0.157140,0.014437,2.018000,2.189577,2.189577
10-20,10,PSO,0.900000,15.018000,0.962460,20.180000,0.225270,0.014437,2.018000,2.257707,2.257707
10-20,10,GA,0.900000,12.942000,0.962460,20.180000,0.194130,0.014437,2.018000,2.226567,2.226567
20-40,20,ACO,0.900000,10.476000,0.987600,19.820000,0.157140,0.014814,1.982000,2.153954,2.153954
20-40,20,PSO,0.900000,16.164000,0.929700,19.680000,0.242460,0.013945,1.968000,2.224406,2.224406
20-40,20,GA,0.900000,12.948000,0.929700,19.680000,0.194220,0.013945,1.968000,2.176165,2.176165
40-60,40,ACO,0.900000,10.272000,2.583780,8.680000,0.154080,0.038757,0.868000,1.060837,1.060837
40-60,40,PSO,0.900000,15.192000,0.898680,19.200000,0.227880,0.013480,1.920000,2.161360,2.161360
40-60,40,GA,0.900000,13.758000,0.898680,19.200000,0.206370,0.013480,1.920000,2.139850,2.139850
60-80,60,ACO,0.900000,10.272000,2.529720,8.180000,0.154080,0.037946,0.818000,1.010026,1.010026
60-80,60,PSO,0.900000,14.640000,2.506440,8.160000,0.219600,0.037597,0.816000,1.073197,1.073197
60-80,60,GA,0.900000,15.288000,2.613060,8.290000,0.229320,0.039196,0.829000,1.097516,1.097516
