graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
SUMO|spots_per_lot|parameter_sensitivity|2055|10-20|Optimization|N2055_PS_spots_per_lot_S1020_I1,sumo,spots_per_lot,parameter_sensitivity,2055,10-20,Optimization,N2055_PS_spots_per_lot_S1020_I1,N2055_PS_spots_per_lot_S1020_I1.dat,10-20,10,Optimization (Optimum),0.900000,13.063320,0.962460,20.180000,0.878360,0.725998,0.053489,0.098873,0.878360
SUMO|spots_per_lot|parameter_sensitivity|2055|20-40|Optimization|N2055_PS_spots_per_lot_S2040_I1,sumo,spots_per_lot,parameter_sensitivity,2055,20-40,Optimization,N2055_PS_spots_per_lot_S2040_I1,N2055_PS_spots_per_lot_S2040_I1.dat,20-40,20,Optimization (Optimum),0.900000,13.034580,0.929700,19.680000,0.868252,0.720442,0.051386,0.096423,0.868252
SUMO|spots_per_lot|parameter_sensitivity|2055|40-60|Optimization|N2055_PS_spots_per_lot_S4060_I1,sumo,spots_per_lot,parameter_sensitivity,2055,40-60,Optimization,N2055_PS_spots_per_lot_S4060_I1,N2055_PS_spots_per_lot_S4060_I1.dat,40-60,40,Optimization (Optimum),0.900000,13.008000,0.898680,19.200000,0.864525,0.720923,0.049806,0.093796,0.864525
SUMO|spots_per_lot|parameter_sensitivity|2055|60-80|Optimization|N2055_PS_spots_per_lot_S6080_I1,sumo,spots_per_lot,parameter_sensitivity,2055,60-80,Optimization,N2055_PS_spots_per_lot_S6080_I1,N2055_PS_spots_per_lot_S6080_I1.dat,60-80,60,Optimization (Optimum),0.900000,13.008000,0.894000,18.710000,0.860906,0.720061,0.049488,0.091357,0.860906
SUMO|spots_per_lot|parameter_sensitivity|2055|10-20|ACO|N2055_PS_spots_per_lot_S1020_I1,sumo,spots_per_lot,parameter_sensitivity,2055,10-20,ACO,N2055_PS_spots_per_lot_S1020_I1,N2055_PS_spots_per_lot_S1020_I1.dat,10-20,10,ACO,0.900000,10.591320,0.962460,20.180000,0.740978,0.588616,0.053489,0.098873,0.740978
SUMO|spots_per_lot|parameter_sensitivity|2055|20-40|ACO|N2055_PS_spots_per_lot_S2040_I1,sumo,spots_per_lot,parameter_sensitivity,2055,20-40,ACO,N2055_PS_spots_per_lot_S2040_I1,N2055_PS_spots_per_lot_S2040_I1.dat,20-40,20,ACO,0.900000,10.591740,0.987600,19.820000,0.737118,0.585423,0.054586,0.097109,0.737118
SUMO|spots_per_lot|parameter_sensitivity|2055|40-60|ACO|N2055_PS_spots_per_lot_S4060_I1,sumo,spots_per_lot,parameter_sensitivity,2055,40-60,ACO,N2055_PS_spots_per_lot_S4060_I1,N2055_PS_spots_per_lot_S4060_I1.dat,40-60,40,ACO,0.900000,10.365900,2.583780,8.680000,0.760094,0.574494,0.143197,0.042404,0.760094
SUMO|spots_per_lot|parameter_sensitivity|2055|60-80|ACO|N2055_PS_spots_per_lot_S6080_I1,sumo,spots_per_lot,parameter_sensitivity,2055,60-80,ACO,N2055_PS_spots_per_lot_S6080_I1,N2055_PS_spots_per_lot_S6080_I1.dat,60-80,60,ACO,0.900000,10.332000,2.529720,8.180000,0.751905,0.571930,0.140033,0.039941,0.751905
SUMO|spots_per_lot|parameter_sensitivity|2055|10-20|PSO|N2055_PS_spots_per_lot_S1020_I1,sumo,spots_per_lot,parameter_sensitivity,2055,10-20,PSO,N2055_PS_spots_per_lot_S1020_I1,N2055_PS_spots_per_lot_S1020_I1.dat,10-20,10,PSO,0.900000,15.133320,0.962460,20.180000,0.993401,0.841039,0.053489,0.098873,0.993401
SUMO|spots_per_lot|parameter_sensitivity|2055|20-40|PSO|N2055_PS_spots_per_lot_S2040_I1,sumo,spots_per_lot,parameter_sensitivity,2055,20-40,PSO,N2055_PS_spots_per_lot_S2040_I1,N2055_PS_spots_per_lot_S2040_I1.dat,20-40,20,PSO,0.900000,16.250580,0.929700,19.680000,1.046005,0.898196,0.051386,0.096423,1.046005
SUMO|spots_per_lot|parameter_sensitivity|2055|40-60|PSO|N2055_PS_spots_per_lot_S4060_I1,sumo,spots_per_lot,parameter_sensitivity,2055,40-60,PSO,N2055_PS_spots_per_lot_S4060_I1,N2055_PS_spots_per_lot_S4060_I1.dat,40-60,40,PSO,0.900000,15.252000,0.898680,19.200000,0.988891,0.845289,0.049806,0.093796,0.988891
SUMO|spots_per_lot|parameter_sensitivity|2055|60-80|PSO|N2055_PS_spots_per_lot_S6080_I1,sumo,spots_per_lot,parameter_sensitivity,2055,60-80,PSO,N2055_PS_spots_per_lot_S6080_I1,N2055_PS_spots_per_lot_S6080_I1.dat,60-80,60,PSO,0.900000,14.700000,2.506440,8.160000,0.992311,0.813722,0.138745,0.039844,0.992311
SUMO|spots_per_lot|parameter_sensitivity|2055|10-20|GA|N2055_PS_spots_per_lot_S1020_I1,sumo,spots_per_lot,parameter_sensitivity,2055,10-20,GA,N2055_PS_spots_per_lot_S1020_I1,N2055_PS_spots_per_lot_S1020_I1.dat,10-20,10,GA,0.900000,13.057320,0.962460,20.180000,0.878027,0.725665,0.053489,0.098873,0.878027
SUMO|spots_per_lot|parameter_sensitivity|2055|20-40|GA|N2055_PS_spots_per_lot_S2040_I1,sumo,spots_per_lot,parameter_sensitivity,2055,20-40,GA,N2055_PS_spots_per_lot_S2040_I1,N2055_PS_spots_per_lot_S2040_I1.dat,20-40,20,GA,0.900000,13.034580,0.929700,19.680000,0.868252,0.720442,0.051386,0.096423,0.868252
SUMO|spots_per_lot|parameter_sensitivity|2055|40-60|GA|N2055_PS_spots_per_lot_S4060_I1,sumo,spots_per_lot,parameter_sensitivity,2055,40-60,GA,N2055_PS_spots_per_lot_S4060_I1,N2055_PS_spots_per_lot_S4060_I1.dat,40-60,40,GA,0.900000,13.818000,0.898680,19.200000,0.909417,0.765815,0.049806,0.093796,0.909417
SUMO|spots_per_lot|parameter_sensitivity|2055|60-80|GA|N2055_PS_spots_per_lot_S6080_I1,sumo,spots_per_lot,parameter_sensitivity,2055,60-80,GA,N2055_PS_spots_per_lot_S6080_I1,N2055_PS_spots_per_lot_S6080_I1.dat,60-80,60,GA,0.900000,15.376740,2.613060,8.290000,1.036308,0.851183,0.144647,0.040479,1.036308
