x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total,objective_value
10,10,Optimization (Optimum),0.900000,0.522000,3.433380,9.170000,0.105526,0.694080,0.045896,0.845501,0.845501
10,10,ACO,0.900000,0.522000,3.433380,9.170000,0.105526,0.694080,0.045896,0.845501,0.845501
10,10,PSO,0.900000,0.522000,3.433380,9.170000,0.105526,0.694080,0.045896,0.845501,0.845501
10,10,GA,0.900000,0.522000,3.433380,9.170000,0.105526,0.694080,0.045896,0.845501,0.845501
20,20,Optimization (Optimum),0.900000,1.506000,1.607520,17.800000,0.249613,0.266440,0.100112,0.616166,0.616166
20,20,ACO,0.900000,1.230000,4.481700,7.350000,0.203867,0.742823,0.041339,0.988029,0.988029
20,20,PSO,0.900000,1.506000,1.607520,17.800000,0.249613,0.266440,0.100112,0.616166,0.616166
20,20,GA,0.900000,1.506000,1.607520,17.800000,0.249613,0.266440,0.100112,0.616166,0.616166
30,30,Optimization (Optimum),0.900000,1.482000,1.612920,13.280000,0.306621,0.333708,0.093455,0.733784,0.733784
30,30,ACO,0.900000,1.326000,3.255780,7.690000,0.274345,0.673610,0.054117,1.002071,1.002071
30,30,PSO,0.900000,1.584000,1.612920,13.280000,0.327724,0.333708,0.093455,0.754887,0.754887
30,30,GA,0.900000,1.482000,1.612920,13.280000,0.306621,0.333708,0.093455,0.733784,0.733784
40,40,Optimization (Optimum),0.900000,1.620000,1.607280,19.670000,0.428571,0.425206,0.101706,0.955484,0.955484
40,40,ACO,0.900000,1.620000,1.607280,19.670000,0.428571,0.425206,0.101706,0.955484,0.955484
40,40,PSO,0.900000,1.668000,1.607280,19.670000,0.441270,0.425206,0.101706,0.968182,0.968182
40,40,GA,0.900000,1.620000,1.607280,19.670000,0.428571,0.425206,0.101706,0.955484,0.955484
