project,scale,experiment,method,check_type,status,subject,detail
baseline,small,edge_density,ACO,objective_recalc,PASS,N10_C2_I1.dat,expected=4.360200 actual=4.360200 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N10_C2_I1.dat,expected=4.360200 actual=4.360200 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N10_C2_I1.dat,expected=4.439600 actual=4.439600 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N10_C2_I1.dat,expected=4.360200 actual=4.360200 delta=0
baseline,small,edge_density,ACO,objective_recalc,PASS,N20_C2_I1.dat,expected=4.316000 actual=4.316000 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N20_C2_I1.dat,expected=4.316000 actual=4.316000 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N20_C2_I1.dat,expected=4.366000 actual=4.366000 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N20_C2_I1.dat,expected=4.316000 actual=4.316000 delta=0
baseline,small,edge_density,ACO,objective_recalc,PASS,N30_C2_I1.dat,expected=3.899600 actual=3.899600 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N30_C2_I1.dat,expected=3.899600 actual=3.899600 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N30_C2_I1.dat,expected=4.388600 actual=4.388600 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N30_C2_I1.dat,expected=3.899600 actual=3.899600 delta=0
baseline,small,edge_density,ACO,objective_recalc,PASS,N40_C2_I1.dat,expected=4.454000 actual=4.454000 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N40_C2_I1.dat,expected=4.454000 actual=4.454000 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N40_C2_I1.dat,expected=4.705800 actual=4.705800 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N40_C2_I1.dat,expected=4.454000 actual=4.454000 delta=0
baseline,small,edge_density,ACO,objective_recalc,PASS,N40_PS_edge_density_baseline_180_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N40_PS_edge_density_baseline_180_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N40_PS_edge_density_baseline_180_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,edge_density,Optimization,objective_recalc,PASS,N40_PS_edge_density_baseline_180_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N40_PS_edge_density_baseline_180_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,edge_density,ACO,objective_recalc,PASS,N40_PS_edge_density_dense_192_I1.dat,expected=4.475600 actual=4.475600 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N40_PS_edge_density_dense_192_I1.dat,expected=4.475600 actual=4.475600 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N40_PS_edge_density_dense_192_I1.dat,expected=4.475600 actual=4.475600 delta=0
baseline,small,edge_density,Optimization,objective_recalc,PASS,N40_PS_edge_density_dense_192_I1.dat,expected=4.475600 actual=4.475600 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N40_PS_edge_density_dense_192_I1.dat,expected=4.475600 actual=4.475600 delta=0
baseline,small,edge_density,ACO,objective_recalc,PASS,N40_PS_edge_density_denser_204_I1.dat,expected=4.464800 actual=4.464800 delta=8.88178e-16
baseline,small,edge_density,GA,objective_recalc,PASS,N40_PS_edge_density_denser_204_I1.dat,expected=4.464800 actual=4.464800 delta=8.88178e-16
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N40_PS_edge_density_denser_204_I1.dat,expected=4.464800 actual=4.464800 delta=8.88178e-16
baseline,small,edge_density,Optimization,objective_recalc,PASS,N40_PS_edge_density_denser_204_I1.dat,expected=4.464800 actual=4.464800 delta=8.88178e-16
baseline,small,edge_density,PSO,objective_recalc,PASS,N40_PS_edge_density_denser_204_I1.dat,expected=4.464800 actual=4.464800 delta=8.88178e-16
baseline,small,edge_density,ACO,objective_recalc,PASS,N50_C2_I1.dat,expected=4.055800 actual=4.055800 delta=0
baseline,small,edge_density,GA,objective_recalc,PASS,N50_C2_I1.dat,expected=4.055800 actual=4.055800 delta=0
baseline,small,edge_density,Heuristic,objective_recalc,PASS,N50_C2_I1.dat,expected=4.915600 actual=4.915600 delta=0
baseline,small,edge_density,Optimization,objective_recalc,PASS,N50_C2_I1.dat,expected=4.497800 actual=4.497800 delta=0
baseline,small,edge_density,PSO,objective_recalc,PASS,N50_C2_I1.dat,expected=4.055800 actual=4.055800 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N10_C4_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N10_C4_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N10_C4_I1.dat,expected=4.439600 actual=4.439600 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N10_C4_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N20_C4_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N20_C4_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N20_C4_I1.dat,expected=4.479400 actual=4.479400 delta=8.88178e-16
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N20_C4_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N30_C4_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N30_C4_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N30_C4_I1.dat,expected=4.539800 actual=4.539800 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N30_C4_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N40_C4_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N40_C4_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N40_C4_I1.dat,expected=4.921800 actual=4.921800 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N40_C4_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N40_PS_walking_distance_W025_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N40_PS_walking_distance_W025_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N40_PS_walking_distance_W025_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Optimization,objective_recalc,PASS,N40_PS_walking_distance_W025_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N40_PS_walking_distance_W025_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N40_PS_walking_distance_W050_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N40_PS_walking_distance_W050_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N40_PS_walking_distance_W050_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Optimization,objective_recalc,PASS,N40_PS_walking_distance_W050_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N40_PS_walking_distance_W050_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N40_PS_walking_distance_W075_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N40_PS_walking_distance_W075_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N40_PS_walking_distance_W075_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Optimization,objective_recalc,PASS,N40_PS_walking_distance_W075_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N40_PS_walking_distance_W075_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N40_PS_walking_distance_W100_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N40_PS_walking_distance_W100_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N40_PS_walking_distance_W100_I1.dat,expected=3.745800 actual=3.745800 delta=4.44089e-16
baseline,small,maximum_walking_distance,Optimization,objective_recalc,PASS,N40_PS_walking_distance_W100_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N40_PS_walking_distance_W100_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,maximum_walking_distance,ACO,objective_recalc,PASS,N50_C4_I1.dat,expected=4.288000 actual=4.288000 delta=0
baseline,small,maximum_walking_distance,GA,objective_recalc,PASS,N50_C4_I1.dat,expected=4.363600 actual=4.363600 delta=0
baseline,small,maximum_walking_distance,Heuristic,objective_recalc,PASS,N50_C4_I1.dat,expected=5.147800 actual=5.147800 delta=0
baseline,small,maximum_walking_distance,Optimization,objective_recalc,PASS,N50_C4_I1.dat,expected=4.730000 actual=4.730000 delta=0
baseline,small,maximum_walking_distance,PSO,objective_recalc,PASS,N50_C4_I1.dat,expected=4.385200 actual=4.385200 delta=8.88178e-16
baseline,small,network_size,ACO,objective_recalc,PASS,N10_C1_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,network_size,GA,objective_recalc,PASS,N10_C1_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,network_size,Heuristic,objective_recalc,PASS,N10_C1_I1.dat,expected=4.439600 actual=4.439600 delta=0
baseline,small,network_size,Optimization,objective_recalc,PASS,N10_C1_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,network_size,PSO,objective_recalc,PASS,N10_C1_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,network_size,ACO,objective_recalc,PASS,N20_C1_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,network_size,GA,objective_recalc,PASS,N20_C1_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,network_size,Heuristic,objective_recalc,PASS,N20_C1_I1.dat,expected=4.479400 actual=4.479400 delta=8.88178e-16
baseline,small,network_size,Optimization,objective_recalc,PASS,N20_C1_I1.dat,expected=4.479400 actual=4.479400 delta=8.88178e-16
baseline,small,network_size,PSO,objective_recalc,PASS,N20_C1_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,network_size,ACO,objective_recalc,PASS,N30_C1_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
